"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","age","subject","participantId","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","6","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2270","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","true","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","19407","0.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","[{""page_index"":0,""viewing_time"":3631.399999976158},{""page_index"":1,""viewing_time"":5851.899999976158},{""page_index"":2,""viewing_time"":7651.5}]","17135.399999976158","","","","","","","","","","","","","","","","","","","",""
"pit-trial","3","23625","0.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","1364.7999999523163","&#9730;","elianto","#3366ff99"," "," ","1","+10","[2215.7000000476837]","1","9","999","999","999","1","1","1","1","win","go","0"
"pit-trial","4","27630","0.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","1152","&#9728;","elianto","#f73b6a7A","-1"," ","0","-10","[2002.6000000238419]","1","9","999","999","999","1","2","0","4","lose","no-go","0"
"pit-trial","5","32486","0.0-5.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","-1","&#9752;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","9","999","999","999","1","3","3","3","lose","go","0"
"pit-trial","6","36540","0.0-6.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","1200.2000000476837","&#9733;","elianto","#3366ff99","-1"," ","0","+10","[2051.7999999523163]","1","9","999","999","999","1","4","2","2","win","no-go","1"
"pit-trial","7","40141","0.0-7.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","746.5","&#9752;","elianto","#f73b6a7A"," "," ","1","-10","[1596.3999999761581]","1","9","999","999","999","1","5","3","3","lose","go","1"
"pit-trial","8","44525","0.0-8.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","1532.4000000953674","&#9728;","elianto","#f73b6a7A","-1"," ","0","0","[2382.399999976158]","1","9","999","999","999","1","6","0","4","lose","no-go","1"
"pit-trial","9","48150","0.0-9.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1284""
","
","","","770.2000000476837","&#9733;","elianto","#3366ff99","-1"," ","0","0","[1620.8000000715256]","1","9","999","999","999","1","7","2","2","win","no-go","0"
