"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","age","subject","participantId","sub","block","trial","stimulus","robot","valence","action","sham","view_history"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2354","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","true","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","6077","0.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9730;","elianto","#3366ff99"," "," ","866.2999999523163","1","+10","[1717.1000000238419]","1","9","999","999","999","1","1","1","1","win","go","0",""
"pit-trial","3","9234","0.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9728;","elianto","#f73b6a7A","-1"," ","304.1999999284744","0","-10","[1154.1999999284744]","1","9","999","999","999","1","2","0","4","lose","no-go","0",""
"pit-trial","4","16105","0.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","9","999","999","999","1","3","2","2","win","no-go","0",""
"pit-trial","5","21652","0.0-5.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9752;","elianto","#f73b6a7A"," ","-1","-1","0","0","[]","0","9","999","999","999","1","4","3","3","lose","go","1",""
"pit-trial","6","25617","0.0-6.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9752;","elianto","#f73b6a7A"," "," ","1070","1","-10","[1959.2000000476837]","1","9","999","999","999","1","5","3","3","lose","go","1",""
"pit-trial","7","28561","0.0-7.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9728;","elianto","#f73b6a7A","-1"," ","88","0","-10","[939.8000000715256]","1","9","999","999","999","1","6","0","4","lose","no-go","0",""
"pit-trial","8","31554","0.0-8.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9733;","elianto","#3366ff99","-1"," ","136.19999992847443","0","0","[988.3000000715256]","1","9","999","999","999","1","7","2","2","win","no-go","0",""
"pit-trial","9","34589","0.0-9.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9730;","elianto","#3366ff99"," "," ","182.39999997615814","1","+10","[1032.8999999761581]","1","9","999","999","999","1","8","1","1","win","go","0",""
"pit-trial","10","37672","0.0-10.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9730;","elianto","#3366ff99"," "," ","230.80000007152557","1","0","[1080.8000000715256]","1","9","999","999","999","1","9","1","1","win","go","1",""
"pit-trial","11","40754","0.0-11.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9733;","elianto","#3366ff99","-1"," ","229.90000009536743","0","0","[1080]","1","9","999","999","999","1","10","2","2","win","no-go","0",""
"pit-trial","12","43704","0.0-12.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9728;","elianto","#f73b6a7A","-1"," ","94.29999995231628","0","-10","[944.5]","1","9","999","999","999","1","11","0","4","lose","no-go","0",""
"pit-trial","13","46739","0.0-13.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9752;","elianto","#f73b6a7A"," "," ","181.60000002384186","1","-10","[1031.7999999523163]","1","9","999","999","999","1","12","3","3","lose","go","1",""
"pit-trial","14","49665","0.0-14.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9752;","elianto","#f73b6a7A"," "," ","71.89999997615814","1","0","[922.1000000238419]","1","9","999","999","999","1","13","3","3","lose","go","0",""
"pit-trial","15","52612","0.0-15.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9728;","elianto","#f73b6a7A","-1"," ","92.70000004768372","0","0","[943.4000000953674]","1","9","999","999","999","1","14","0","4","lose","no-go","1",""
"pit-trial","16","55558","0.0-16.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","&#9733;","elianto","#3366ff99","-1"," ","93.39999997615814","0","+10","[943.7000000476837]","1","9","999","999","999","1","15","2","2","win","no-go","1",""
