"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","age","subject","participantId","block","practice","value","view_history"
"pavlovia","0","11","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2571","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","true","","","","","","","","","","","","","","","","",""
"pit-trial","2","6883","0.0-2.0-0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","&#9776;","elianto","#3366ff99"," "," ","1453.2000000476837","1","+10","[2305]","1","999","999","999","0","1","",""
"pit-trial","3","9970","0.0-2.0-0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","&#9776;","elianto","#3366ff99"," "," ","232.60000002384186","1","+10","[1082.699999988079]","1","999","999","999","0","1","",""
"pit-trial","4","12925","0.0-2.0-0.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","&#9776;","elianto","#3366ff99"," "," ","97.39999997615814","1","+10","[950.1999999880791]","1","999","999","999","0","1","",""
"pit-trial","5","15927","0.0-2.0-0.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","&#9776;","elianto","#3366ff99"," "," ","143.10000002384186","1","0","[995.8000000119209]","1","999","999","999","0","1","",""
"pit-trial","6","18912","0.0-2.0-0.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","&#9776;","elianto","#3366ff99"," "," ","128.69999998807907","1","+10","[981.3000000119209]","1","999","999","999","0","1","",""
"call-function","7","18917","0.0-2.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
""blur"",""8"",""22483""
""focus"",""8"",""26004""
","""event"",""trial"",""time""
""blur"",""8"",""22483""
","""event"",""trial"",""time""
""focus"",""8"",""26004""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","","","","","","","","","","","","","","","","",""
"pit-instructions","8","62305","0.0-2.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
""blur"",""8"",""22483""
""focus"",""8"",""26004""
","""event"",""trial"",""time""
""blur"",""8"",""22483""
","""event"",""trial"",""time""
""focus"",""8"",""26004""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","","","","","","43389.10000002384","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7164.5},{""page_index"":1,""viewing_time"":6573.800000011921},{""page_index"":2,""viewing_time"":9754.300000011921},{""page_index"":3,""viewing_time"":12117},{""page_index"":4,""viewing_time"":7778.899999976158}]"
"pit-trial","9","65279","0.0-2.0-3.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
""blur"",""8"",""22483""
""focus"",""8"",""26004""
","""event"",""trial"",""time""
""blur"",""8"",""22483""
","""event"",""trial"",""time""
""focus"",""8"",""26004""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1581""
","
","","&#9761;","elianto","#3366ff99","-1"," ","115.09999996423721","0","0","[969.6999999880791]","1","999","999","999","0","2","",""
