"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","age","subject","participantId","block","practice"
"pavlovia","0","9","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
","""event"",""trial"",""time""
""blur"",""1"",""374""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","","","","","","","","","","","","","","",""
"fullscreen","1","2719","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
","""event"",""trial"",""time""
""blur"",""1"",""374""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","true","","","","","","","","","","","","","","","",""
"pit-instructions","2","36271","0.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
","""event"",""trial"",""time""
""blur"",""1"",""374""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","[{""page_index"":0,""viewing_time"":4449.600000023842},{""page_index"":1,""viewing_time"":7509.5},{""page_index"":2,""viewing_time"":4690.5},{""page_index"":3,""viewing_time"":12454.399999976158},{""page_index"":4,""viewing_time"":4444}]","33548.700000047684","","","","","","","","","","","","","",""
"pit-trial","3","40141","0.0-2.0-1.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","1012.0999999642372","&#9826;","elianto","#f73b6a7A","-1"," ","0","-10","[1864.300000011921]","1","999","999","999","0","3"
"pit-trial","4","44147","0.0-2.0-1.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","1071.4000000357628","&#9826;","elianto","#f73b6a7A","-1"," ","0","-10","[2000.1000000238419]","1","999","999","999","0","3"
"pit-trial","5","47231","0.0-2.0-1.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","229","&#9826;","elianto","#f73b6a7A","-1"," ","0","-10","[1081.7000000476837]","1","999","999","999","0","3"
"pit-trial","6","50476","0.0-2.0-1.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","388.5","&#9826;","elianto","#f73b6a7A","-1"," ","0","0","[1240]","1","999","999","999","0","3"
"pit-trial","7","53613","0.0-2.0-1.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","281.60000002384186","&#9826;","elianto","#f73b6a7A","-1"," ","0","-10","[1133]","1","999","999","999","0","3"
"pit-trial","8","56664","0.0-2.0-1.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","196.69999998807907","&#9826;","elianto","#f73b6a7A","-1"," ","0","-10","[1048]","1","999","999","999","0","3"
"pit-trial","9","59564","0.0-2.0-1.1-1.1","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""374""
""focus"",""1"",""1643""
""fullscreenenter"",""1"",""1735""
""blur"",""4"",""40644""
""focus"",""4"",""41895""
""blur"",""4"",""43922""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""blur"",""1"",""374""
""blur"",""4"",""40644""
""blur"",""4"",""43922""
","""event"",""trial"",""time""
""focus"",""1"",""1643""
""focus"",""4"",""41895""
""focus"",""5"",""44449""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1735""
","
","","","43.299999952316284","&#9826;","elianto","#f73b6a7A","-1"," ","0","-10","[894.3999999761581]","1","999","999","999","0","3"
