"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","age","subject","participantId","block","practice","view_history"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","","","","","","","","","","","","","","","",""
"fullscreen","1","1977","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","true","","","","","","","","","","","","","","","",""
"pit-trial","2","6841","0.0-2.0-0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","3","11700","0.0-2.0-0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","4","16565","0.0-2.0-0.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","5","21423","0.0-2.0-0.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","0","[]","0","999","999","999","0","4",""
"pit-trial","6","26279","0.0-2.0-0.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","7","31138","0.0-2.0-0.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","8","35996","0.0-2.0-0.1-1.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","9","40858","0.0-2.0-0.1-2.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","10","45717","0.0-2.0-0.1-3.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","0","[]","0","999","999","999","0","4",""
"pit-trial","11","50578","0.0-2.0-0.1-4.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","12","55437","0.0-2.0-0.2-0.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","13","60293","0.0-2.0-0.2-1.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","14","65149","0.0-2.0-0.2-2.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","15","70007","0.0-2.0-0.2-3.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","0","[]","0","999","999","999","0","4",""
"pit-trial","16","74865","0.0-2.0-0.2-4.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","17","79725","0.0-2.0-0.3-0.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","18","84581","0.0-2.0-0.3-1.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","19","89439","0.0-2.0-0.3-2.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","20","94297","0.0-2.0-0.3-3.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","0","[]","0","999","999","999","0","4",""
"pit-trial","21","99157","0.0-2.0-0.3-4.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","22","104016","0.0-2.0-0.4-0.4","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
"pit-trial","23","108871","0.0-2.0-0.4-1.4","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
""blur"",""17"",""76861""
","""event"",""trial"",""time""
""blur"",""17"",""76861""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""991""
","
","","&#9789;","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","999","999","999","0","4",""
