"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","35","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3153","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","8443","0.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","[{""page_index"":0,""viewing_time"":5278.799999952316}]","5280.399999976158","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","13904","0.0-2.0-1.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","5452.100000023842","[""shark""]","0","10","3241","1206","","","","","","","","","","","",""
"pit-instructions","4","17019","0.0-2.0-1.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","[{""page_index"":0,""viewing_time"":3075.399999976158}]","3076.2000000476837","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","21749","0.0-2.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","4718.899999976158","[""tiger""]","0","10","3241","1206","","","","","","","","","","","",""
"pit-instructions","6","24538","0.0-2.0-2.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","[{""page_index"":0,""viewing_time"":2780.399999976158}]","2780.899999976158","","","","","","","","","","","","","","","","",""
"pit-instructions","7","143502","0.0-2.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","[{""page_index"":0,""viewing_time"":8687.200000047684},{""page_index"":1,""viewing_time"":16984.799999952316},{""page_index"":2,""viewing_time"":7524.5},{""page_index"":3,""viewing_time"":5188.899999976158},{""page_index"":4,""viewing_time"":6579.300000071526},{""page_index"":5,""viewing_time"":5340.399999976158},{""page_index"":6,""viewing_time"":6922},{""page_index"":7,""viewing_time"":8048.200000047684},{""page_index"":8,""viewing_time"":7472.099999904633},{""page_index"":9,""viewing_time"":10604.800000071526},{""page_index"":10,""viewing_time"":10172.5},{""page_index"":11,""viewing_time"":13162.799999952316},{""page_index"":12,""viewing_time"":7964.800000071526},{""page_index"":13,""viewing_time"":4302.599999904633}]","118955.70000004768","","","","","","","","","","","","","","","","",""
"pit-trial","8","146492","0.0-2.0-4.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","133","","","10","3241","1206","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[983.7999999523163]","1","0","0",""
"pit-trial","9","150187","0.0-2.0-4.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","836","","","10","3241","1206","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1686.5]","1","0","0",""
"pit-trial","10","154033","0.0-2.0-4.2-0.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","982.8000000715256","","","10","3241","1206","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1833.1000000238419]","1","0","0",""
"pit-trial","11","157773","0.0-2.0-4.3-0.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","876.1000000238419","","","10","3241","1206","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[65.20000004768372,1726.2000000476837]","2","0","0",""
"pit-trial","12","161492","0.0-2.0-4.4-0.4","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","857.7999999523163","","","10","3241","1206","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1713.3000000715256]","1","0","0",""
"pit-instructions","13","184312","0.0-2.0-5.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","[{""page_index"":0,""viewing_time"":4897.899999976158},{""page_index"":1,""viewing_time"":6398.399999976158},{""page_index"":2,""viewing_time"":5449.399999976158},{""page_index"":3,""viewing_time"":6067.899999976158}]","22814.5","","","","","","","","","","","","","","","","",""
"pit-trial","14","189182","0.0-2.0-6.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","-1","","","10","3241","1206","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","15","194050","0.0-2.0-6.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","-1","","","10","3241","1206","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","16","198923","0.0-2.0-6.2-0.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","-1","","","10","3241","1206","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","17","203790","0.0-2.0-6.3-0.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","-1","","","10","3241","1206","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","18","208652","0.0-2.0-6.4-0.4","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2189""
","
","","","-1","","","10","3241","1206","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
