"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","age","subject","participantId","block","practice","value"
"pavlovia","0","5","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","","","","","","","","","","","","","","","",""
"fullscreen","1","2597","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","true","","","","","","","","","","","","","","","",""
"pit-trial","2","7462","0.0-2.0-0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","3","12327","0.0-2.0-0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","4","16126","0.0-2.0-0.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","935.4000000059605","1","+10","[1786.5999999940395]","1","999","999","999","0","1",""
"pit-trial","5","20162","0.0-2.0-0.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","1166","1","0","[2022.699999988079]","1","999","999","999","0","1",""
"pit-trial","6","25031","0.0-2.0-0.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[3643.800000011921]","1","999","999","999","0","1",""
"pit-trial","7","27950","0.0-2.0-0.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","47.5","1","+10","[908.1999999880791]","1","999","999","999","0","1",""
"pit-trial","8","32247","0.0-2.0-0.1-1.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","1433.800000011921","1","+10","[2286.4000000059605]","1","999","999","999","0","1",""
"pit-trial","9","36244","0.0-2.0-0.1-2.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","1132.5999999940395","1","+10","[1987.199999988079]","1","999","999","999","0","1",""
"pit-trial","10","39881","0.0-2.0-0.1-3.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","770.5","1","0","[1629.0999999940395]","1","999","999","999","0","1",""
"pit-trial","11","43645","0.0-2.0-0.1-4.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","899.1999999880791","1","+10","[1752.7000000178814]","1","999","999","999","0","1",""
"pit-trial","12","47450","0.0-2.0-0.2-0.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","937.0999999940395","1","+10","[1790.5]","1","999","999","999","0","1",""
"pit-trial","13","52320","0.0-2.0-0.2-1.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","14","56205","0.0-2.0-0.2-2.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1598""
","
","","&#9776;","elianto","#3366ff99"," "," ","1022.3000000119209","1","+10","[1877.4000000059605]","1","999","999","999","0","1",""
