"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","24","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","
","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","8104","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","
","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","13115","0.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","
","","[{""page_index"":0,""viewing_time"":5006.899999976158}]","5007.399999976158","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","16020","0.0-2.0-1.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","
","","","2898.7999999523163","[""shark""]","0","16","9664","2068","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","17099","0.0-2.0-1.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","
","","[{""page_index"":0,""viewing_time"":1055.4000000953674}]","1056","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","20907","0.0-2.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","
","","","3802.100000023842","[""tiger""]","0","16","9664","2068","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","21810","0.0-2.0-2.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
""fullscreenexit"",""7"",""280640""
""blur"",""7"",""282008""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
""blur"",""7"",""282008""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""fullscreenexit"",""7"",""280640""
","","[{""page_index"":0,""viewing_time"":897.2999999523163}]","897.6999999284744","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","330187","0.0-2.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
""fullscreenexit"",""7"",""280640""
""blur"",""7"",""282008""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
""blur"",""7"",""282008""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""fullscreenexit"",""7"",""280640""
","","[{""page_index"":0,""viewing_time"":8276.600000023842},{""page_index"":1,""viewing_time"":8616},{""page_index"":0,""viewing_time"":2687.600000023842},{""page_index"":1,""viewing_time"":5711.699999928474},{""page_index"":2,""viewing_time"":10488.300000071526},{""page_index"":3,""viewing_time"":18583.799999952316},{""page_index"":4,""viewing_time"":19424.600000023842},{""page_index"":5,""viewing_time"":12407.5},{""page_index"":6,""viewing_time"":12223.799999952316},{""page_index"":7,""viewing_time"":10600.5},{""page_index"":8,""viewing_time"":11191.700000047684},{""page_index"":9,""viewing_time"":10344.399999976158},{""page_index"":10,""viewing_time"":7479.800000071526},{""page_index"":11,""viewing_time"":99599.5},{""page_index"":12,""viewing_time"":14200},{""page_index"":13,""viewing_time"":56536.699999928474}]","308373.10000002384","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","334488","0.0-2.0-4.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
""fullscreenexit"",""7"",""280640""
""blur"",""7"",""282008""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
""blur"",""7"",""282008""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""fullscreenexit"",""7"",""280640""
","","","1439.7000000476837","","","16","9664","2068","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[2290.7999999523163]","1","0","0","","","","","","","",""
"pit-trial","9","338166","0.0-2.0-4.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""blur"",""1"",""6035""
""focus"",""1"",""6986""
""fullscreenenter"",""1"",""7161""
""fullscreenexit"",""7"",""280640""
""blur"",""7"",""282008""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""blur"",""1"",""6035""
""blur"",""7"",""282008""
","""event"",""trial"",""time""
""focus"",""1"",""6986""
""focus"",""7"",""325174""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""7161""
","""event"",""trial"",""time""
""fullscreenexit"",""7"",""280640""
","","","821.3999999761581","","","16","9664","2068","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1672.6000000238419]","1","0","0","","","","","","","",""
