"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors"
"pavlovia","0","37","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","33001","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4975.029999855906},{""page_index"":1,""viewing_time"":2882.4899999890476},{""page_index"":2,""viewing_time"":1580.775000154972},{""page_index"":3,""viewing_time"":2259.7699998877943},{""page_index"":4,""viewing_time"":3578.925000037998},{""page_index"":5,""viewing_time"":2334.030000027269},{""page_index"":6,""viewing_time"":2506.5349999349564},{""page_index"":7,""viewing_time"":6052.820000099018},{""page_index"":8,""viewing_time"":4381.359999999404},{""page_index"":9,""viewing_time"":2407.554999925196}]","32960.44999989681","","","","","","","","","","","","","",""
"pit-trial","2","36478","0.0-1.0-1.0-0.0","battery-v0.2","","769.5049999747425","1","elianto","#3366ff99","32","32","1","+10","2269.6050000377","1","0","1","","",""
"pit-trial","3","40049","0.0-1.0-1.1-0.1","battery-v0.2","","861.934999935329","1","elianto","#3366ff99","32","32","1","+10","2362.1050000656396","1","0","1","","",""
"pit-trial","4","43873","0.0-1.0-1.2-0.2","battery-v0.2","","1114.609999815002","1","elianto","#3366ff99","32","32","1","+10","2614.8749999701977","1","0","1","","",""
"pit-trial","5","47550","0.0-1.0-1.3-0.3","battery-v0.2","","969.8299998417497","1","elianto","#3366ff99","32","32","1","+10","2471.309999935329","1","0","1","","",""
"call-function","6","47555","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","7","53170","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3659.144999925047},{""page_index"":1,""viewing_time"":1954.3449999764562}]","5613.889999920502","","","","","","","","","","","","","",""
"pit-trial","8","56631","0.0-1.0-4.0-0.0","battery-v0.2","","754.5899997930974","2","elianto","#3366ff99","-1","32","0","+1","2254.8299999907613","1","0","2","","",""
"pit-trial","9","59970","0.0-1.0-4.1-0.1","battery-v0.2","","632.3349999729544","2","elianto","#3366ff99","-1","32","0","+1","2132.9100001603365","1","0","2","","",""
"pit-trial","10","62976","0.0-1.0-4.2-0.2","battery-v0.2","","296.7499999795109","2","elianto","#3366ff99","-1","32","0","+1","1796.739999903366","1","0","2","","",""
