"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","37","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","76063","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3460.689999978058},{""page_index"":1,""viewing_time"":5583.740000030957},{""page_index"":2,""viewing_time"":8695.91499993112},{""page_index"":3,""viewing_time"":6311.9100000476465},{""page_index"":4,""viewing_time"":7632.095000008121},{""page_index"":5,""viewing_time"":5567.990000010468},{""page_index"":6,""viewing_time"":5175.889999954961},{""page_index"":7,""viewing_time"":11576.155000017025},{""page_index"":8,""viewing_time"":9248.35999996867},{""page_index"":9,""viewing_time"":2488.0999999586493},{""page_index"":8,""viewing_time"":5247.84000008367},{""page_index"":9,""viewing_time"":5032.049999921583}]","76021.81999990717","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","80085","0.0-1.0-1.0-0.0","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","3","83410","0.0-1.0-1.1-0.1","battery-v0.2","","603.4199999412522","1","elianto","#3366ff99","32","32","1","+10","2104.330000001937","1","0","1","","","","","","","","","",""
"pit-trial","4","86600","0.0-1.0-1.2-0.2","battery-v0.2","","482.99000004772097","1","elianto","#3366ff99","32","32","1","+10","1983.420000062324,2882.255000062287","2","0","1","","","","","","","","","",""
"pit-trial","5","89952","0.0-1.0-1.3-0.3","battery-v0.2","","635.8950000721961","1","elianto","#3366ff99","32","32","1","+10","2135.9449999872595","1","0","1","","","","","","","","","",""
"call-function","6","89958","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","97462","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":5829.8300000606105},{""page_index"":1,""viewing_time"":1672.1299999626353}]","7502.34000000637","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","100959","0.0-1.0-4.0-0.0","battery-v0.2","","778.0199999688193","2","elianto","#3366ff99","-1","32","0","+1","2278.829999966547","1","0","2","","","","","","","","","",""
"pit-trial","9","104980","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","10","108993","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","11","113006","0.0-1.0-4.3-0.3","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"call-function","12","113008","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","13","148414","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":32403.92999991309},{""page_index"":1,""viewing_time"":3000.0749999890104}]","35404.47499998845","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","151551","0.0-1.0-7.0-0.0","battery-v0.2","","417.6399999996647","3","elianto","#f73b6a7A","-1","32","0","-10","1918.6900000786409","1","0","3","","","","","","","","","",""
"pit-trial","15","155581","0.0-1.0-7.1-0.1","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"pit-trial","16","159588","0.0-1.0-7.2-0.2","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"pit-trial","17","163598","0.0-1.0-7.3-0.3","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"call-function","18","163601","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","19","179558","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":12772.035000030883},{""page_index"":1,""viewing_time"":3184.000000008382}]","15956.510000047274","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","20","182451","0.0-1.0-10.0-0.0","battery-v0.2","","180.78500009141862","4","elianto","#f73b6a7A","32","32","1","-1","1680.7750000152737","1","0","4","","","","","","","","","",""
"pit-trial","21","185367","0.0-1.0-10.1-0.1","battery-v0.2","","206.46000001579523","4","elianto","#f73b6a7A","32","32","1","-1","1708.7049999972805","1","0","4","","","","","","","","","",""
"pit-trial","22","188193","0.0-1.0-10.2-0.2","battery-v0.2","","114.449999993667","4","elianto","#f73b6a7A","32","32","1","-1","1614.729999913834","1","0","4","","","","","","","","","",""
"pit-trial","23","191169","0.0-1.0-10.3-0.3","battery-v0.2","","265.65499999560416","4","elianto","#f73b6a7A","32","32","1","-1","1765.955000068061","1","0","4","","","","","","","","","",""
"call-function","24","191172","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","25","206237","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8672.03499993775},{""page_index"":1,""viewing_time"":856.5050000324845},{""page_index"":2,""viewing_time"":1183.4599999710917},{""page_index"":3,""viewing_time"":1240.1049999753013},{""page_index"":4,""viewing_time"":1711.9449999881908},{""page_index"":5,""viewing_time"":1400.0600000144914}]","15064.579999889247","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","26","236014","0.0-1.0-13.0","battery-v0.2","","29773.929999908432","","","","","","","","","","","","","Press SPACE,+10,-1,True,True","0","","","","","","",""
"pit-instructions","27","243053","0.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2091.3650000002235},{""page_index"":1,""viewing_time"":4944.129999959841}]","7035.960000008345","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","28","246513","0.0-3.0","battery-v0.2","","740.5450000660494","U","elianto","#3366ff99","-1","32","0","+10","2241.1250000586733","1","1","","","","","804","1","0","2","win","no-go","1"
"pit-trial","29","250534","0.0-4.0","battery-v0.2","","-1","L","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","804","2","1","2","win","no-go","0"
"pit-trial","30","254051","0.0-5.0","battery-v0.2","","807.3899999726564","A","elianto","#3366ff99","32","32","1","+10","2309.6000000368804","1","1","","","","","804","3","2","1","win","go","0"
"pit-trial","31","257457","0.0-6.0","battery-v0.2","","696.2799999164417","G","elianto","#f73b6a7A","32","32","1","-1","2196.490000002086","1","1","","","","","804","4","3","3","lose","go","0"
"pit-trial","32","260718","0.0-7.0","battery-v0.2","","550.8100000442937","G","elianto","#f73b6a7A","32","32","1","-1","2051.240000058897","1","1","","","","","804","5","3","3","lose","go","0"
"pit-trial","33","264115","0.0-8.0","battery-v0.2","","676.6100000822917","A","elianto","#3366ff99","32","32","1","+1","2177.754999953322","1","1","","","","","804","6","2","1","win","go","1"
"pit-trial","34","267320","0.0-9.0","battery-v0.2","","497.4899999797344","L","elianto","#3366ff99","-1","32","0","+10","1998.299999977462","1","1","","","","","804","7","1","2","win","no-go","1"
"pit-trial","35","270548","0.0-10.0","battery-v0.2","","509.65999998152256","U","elianto","#3366ff99","-1","32","0","+1","2011.4649999886751","1","1","","","","","804","8","0","2","win","no-go","0"
"pit-trial","36","274573","0.0-11.0","battery-v0.2","","-1","U","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","804","9","0","2","win","no-go","0"
"pit-trial","37","277917","0.0-12.0","battery-v0.2","","626.8299999646842","G","elianto","#f73b6a7A","32","32","1","-1","2127.4299999931827","1","1","","","","","804","10","3","3","lose","go","0"
"pit-trial","38","281573","0.0-13.0","battery-v0.2","","945.3499999362975","L","elianto","#3366ff99","-1","32","0","+1","2447.554999962449","1","1","","","","","804","11","1","2","win","no-go","0"
"pit-trial","39","284658","0.0-14.0","battery-v0.2","","377.9249999206513","A","elianto","#3366ff99","32","32","1","+10","1878.000000026077","1","1","","","","","804","12","2","1","win","go","0"
"pit-trial","40","288677","0.0-15.0","battery-v0.2","","-1","L","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","804","13","1","2","win","no-go","0"
"pit-trial","41","292113","0.0-16.0","battery-v0.2","","726.0499999392778","G","elianto","#f73b6a7A","32","32","1","-1","2226.1550000403076,2599.2450000485405","2","1","","","","","804","14","3","3","lose","go","0"
"pit-trial","42","296067","0.0-17.0","battery-v0.2","","1235.4499999200925","U","elianto","#3366ff99","-1","32","0","+10","2736.5149999968708","1","1","","","","","804","15","0","2","win","no-go","1"
"pit-trial","43","299532","0.0-18.0","battery-v0.2","","746.4900000486523","A","elianto","#3366ff99","32","32","1","+10","2248.55999997817,3334.069999982603","2","1","","","","","804","16","2","1","win","go","0"
"pit-trial","44","302821","0.0-19.0","battery-v0.2","","576.2649999232963","U","elianto","#3366ff99","-1","32","0","+1","2077.0550000015646","1","1","","","","","804","17","0","2","win","no-go","0"
"pit-trial","45","306130","0.0-20.0","battery-v0.2","","588.4599999990314","A","elianto","#3366ff99","32","32","1","+10","2088.5850000195205","1","1","","","","","804","18","2","1","win","go","0"
"pit-trial","46","309636","0.0-21.0","battery-v0.2","","797.6100000087172","G","elianto","#f73b6a7A","32","32","1","-1","2299.005000037141","1","1","","","","","804","19","3","3","lose","go","0"
"pit-trial","47","313513","0.0-22.0","battery-v0.2","","1158.4000000730157","L","elianto","#3366ff99","-1","32","0","+1","2659.449999919161","1","1","","","","","804","20","1","2","win","no-go","0"
"pit-trial","48","317533","0.0-23.0","battery-v0.2","","-1","U","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","804","21","0","2","win","no-go","0"
"pit-trial","49","321567","0.0-24.0","battery-v0.2","","-1","L","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","804","22","1","2","win","no-go","0"
"pit-trial","50","324800","0.0-25.0","battery-v0.2","","520.3200000105426","A","elianto","#3366ff99","32","32","1","+10","2021.2049999972805","1","1","","","","","804","23","2","1","win","go","0"
"pit-trial","51","327740","0.0-26.0","battery-v0.2","","232.83999995328486","G","elianto","#f73b6a7A","32","32","1","-1","1733.3999999100342","1","1","","","","","804","24","3","3","lose","go","0"
