"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","",""
"pit-instructions","1","3386","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1109.8500000080094},{""page_index"":1,""viewing_time"":355.3550000069663},{""page_index"":2,""viewing_time"":314.96500002685934},{""page_index"":3,""viewing_time"":347.13500004727393},{""page_index"":4,""viewing_time"":379.8849999438971},{""page_index"":5,""viewing_time"":136.8899999652058},{""page_index"":6,""viewing_time"":145.5900000873953},{""page_index"":7,""viewing_time"":146.0099999094382},{""page_index"":8,""viewing_time"":129.11500001791865},{""page_index"":9,""viewing_time"":314.72999998368323}]","3379.9650000873953","","","","","","","","","","",""
"pit-trial","2","8892","0.0-1.0-1.0-0.0","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","3","15526","0.0-1.0-1.1-0.1","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","4","22640","0.0-1.0-1.2-0.2","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","5","30736","0.0-1.0-1.3-0.3","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","6","37526","0.0-1.0-1.4-0.4","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","7","44946","0.0-1.0-1.5-0.5","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","8","52666","0.0-1.0-1.6-0.6","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","9","59645","0.0-1.0-1.7-0.7","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","10","66982","0.0-1.0-1.8-0.8","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","11","74151","0.0-1.0-1.9-0.9","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","12","81528","0.0-1.0-1.10-0.10","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","13","88837","0.0-1.0-1.11-0.11","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","14","95527","0.0-1.0-1.12-0.12","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","15","102526","0.0-1.0-1.13-0.13","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","16","109527","0.0-1.0-1.14-0.14","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","17","117770","0.0-1.0-1.15-0.15","battery-v0.2","","-1","<span stlye=""font-family:`Wingdings 3`"">&amp;#xF050;</span>","elianto","#3366ff99","32","-1","0","0","","0","0","1"
