"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","",""
"pit-instructions","1","2672","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1241.450000088662},{""page_index"":1,""viewing_time"":282.29999996256083},{""page_index"":2,""viewing_time"":146.42499992623925},{""page_index"":3,""viewing_time"":143.72000005096197},{""page_index"":4,""viewing_time"":137.7700000302866},{""page_index"":5,""viewing_time"":129.1450000135228},{""page_index"":6,""viewing_time"":169.54999999143183},{""page_index"":7,""viewing_time"":137.2349999146536},{""page_index"":8,""viewing_time"":137.26000010501593},{""page_index"":9,""viewing_time"":137.35499989707023}]","2662.7149999840185","","","","","","","","","","",""
"pit-trial","2","6432","0.0-1.0-1.0-0.0","battery-v0.2","","252.39000003784895","&#9744;","elianto","#3366ff99","32","32","1","+10","1754.179999930784","1","0","1"
"pit-trial","3","11939","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","4","17444","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","5","23059","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","6","30864","0.0-1.0-1.4-0.4","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","7","38059","0.0-1.0-1.5-0.5","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","8","45152","0.0-1.0-1.6-0.6","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","9","52059","0.0-1.0-1.7-0.7","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","10","58059","0.0-1.0-1.8-0.8","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","11","65455","0.0-1.0-1.9-0.9","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","12","72099","0.0-1.0-1.10-0.10","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","13","79059","0.0-1.0-1.11-0.11","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","14","86059","0.0-1.0-1.12-0.12","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","15","93059","0.0-1.0-1.13-0.13","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","16","98569","0.0-1.0-1.14-0.14","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","17","104074","0.0-1.0-1.15-0.15","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","18","109581","0.0-1.0-1.16-0.16","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","19","115089","0.0-1.0-1.17-0.17","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","20","120596","0.0-1.0-1.18-0.18","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
