"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","18","0.0-0.0","battery-v0.2","","","","","","","","","","","","","",""
"pit-instructions","1","8355","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2291.5},{""page_index"":1,""viewing_time"":438.5},{""page_index"":2,""viewing_time"":336},{""page_index"":3,""viewing_time"":266},{""page_index"":4,""viewing_time"":1273.5},{""page_index"":3,""viewing_time"":1561.8999999999069},{""page_index"":4,""viewing_time"":352.39999999990687},{""page_index"":5,""viewing_time"":359.5},{""page_index"":6,""viewing_time"":304.10000000009313},{""page_index"":7,""viewing_time"":486.6999999997206},{""page_index"":8,""viewing_time"":343.40000000037253},{""page_index"":9,""viewing_time"":320.5}]","8335.799999999814","","","","","","","","","","","",""
"pit-trial","2","13164","0.0-1.0-1.0-0.0","battery-v0.2","","1300.6000000000931","&#9744;","elianto","#3366ff99","32","32","1","+10","2800.6999999997206","1","0","1",""
"pit-trial","3","16899","0.0-1.0-1.1-0.1","battery-v0.2","","223.10000000009313","&#9744;","elianto","#3366ff99","32","32","1","+10","1723.1999999997206","1","0","1",""
"pit-trial","4","22502","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","1374.5999999996275","1","0","1",""
"pit-trial","5","29501","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","6","36501","0.0-1.0-1.4-0.4","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","7","43501","0.0-1.0-1.5-0.5","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","8","50501","0.0-1.0-1.6-0.6","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","9","57501","0.0-1.0-1.7-0.7","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","10","64501","0.0-1.0-1.8-0.8","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","11","71501","0.0-1.0-1.9-0.9","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","12","78501","0.0-1.0-1.10-0.10","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","13","85501","0.0-1.0-1.11-0.11","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","14","92501","0.0-1.0-1.12-0.12","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","15","99502","0.0-1.0-1.13-0.13","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","16","106501","0.0-1.0-1.14-0.14","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","17","113501","0.0-1.0-1.15-0.15","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","18","120501","0.0-1.0-1.16-0.16","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
