"trial_type","trial_index","time_elapsed","internal_node_id","task_version","responses","num_errors","rt","view_history","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","1","13175","0.0-1.0-0.0","battery-v0.2","Press SPACE,+10,-10,True,False, somtimes you will not get all the points even if you took the right action,True","2","13169.5","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","16145","0.0-2.0","battery-v0.2","","","2967.2999999998137","[{""page_index"":0,""viewing_time"":1287.8999999994412},{""page_index"":1,""viewing_time"":553.1000000005588},{""page_index"":2,""viewing_time"":1125.8999999994412}]","","","","","","","","","","","","","","","","",""
"pit-trial","3","21650","0.0-3.0","battery-v0.2","","","-1","","&#9728;","elianto","#f73b6a7A","-1","-1","1","-10","","0","test","1","1","0","4","lose","no-go","1"
"pit-trial","4","27153","0.0-4.0","battery-v0.2","","","-1","","&#9733;","elianto","#3366ff99","-1","-1","1","0","","0","test","1","2","2","2","win","no-go","1"
"pit-trial","5","31112","0.0-5.0","battery-v0.2","","","456.6000000005588","","&#9730;","elianto","#3366ff99","32","32","1","0","1956.5999999996275","1","test","1","3","1","1","win","go","1"
"pit-trial","6","36615","0.0-6.0","battery-v0.2","","","-1","","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","test","1","4","3","3","lose","go","0"
"pit-trial","7","42117","0.0-7.0","battery-v0.2","","","-1","","&#9730;","elianto","#3366ff99","32","-1","0","+10","","0","test","1","5","1","1","win","go","1"
"pit-trial","8","47619","0.0-8.0","battery-v0.2","","","-1","","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","test","1","6","3","3","lose","go","0"
"pit-trial","9","53121","0.0-9.0","battery-v0.2","","","-1","","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","test","1","7","0","4","lose","no-go","0"
"pit-trial","10","58623","0.0-10.0","battery-v0.2","","","-1","","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","test","1","8","2","2","win","no-go","0"
"pit-trial","11","64126","0.0-11.0","battery-v0.2","","","-1","","&#9730;","elianto","#3366ff99","32","-1","0","0","","0","test","1","9","1","1","win","go","0"
"pit-trial","12","69628","0.0-12.0","battery-v0.2","","","-1","","&#9733;","elianto","#3366ff99","-1","-1","1","0","","0","test","1","10","2","2","win","no-go","1"
"pit-trial","13","75129","0.0-13.0","battery-v0.2","","","-1","","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","test","1","11","3","3","lose","go","0"
"pit-trial","14","80632","0.0-14.0","battery-v0.2","","","-1","","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","test","1","12","0","4","lose","no-go","0"
"pit-trial","15","86133","0.0-15.0","battery-v0.2","","","-1","","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","test","1","13","2","2","win","no-go","0"
"pit-trial","16","91635","0.0-16.0","battery-v0.2","","","-1","","&#9728;","elianto","#f73b6a7A","-1","-1","1","-10","","0","test","1","14","0","4","lose","no-go","1"
"pit-trial","17","97137","0.0-17.0","battery-v0.2","","","-1","","&#9730;","elianto","#3366ff99","32","-1","0","0","","0","test","1","15","1","1","win","go","0"
"pit-trial","18","102640","0.0-18.0","battery-v0.2","","","-1","","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","test","1","16","3","3","lose","go","0"
"pit-trial","19","108141","0.0-19.0","battery-v0.2","","","-1","","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","test","1","17","3","3","lose","go","0"
"pit-trial","20","113644","0.0-20.0","battery-v0.2","","","-1","","&#9728;","elianto","#f73b6a7A","-1","-1","1","-10","","0","test","1","18","0","4","lose","no-go","1"
"pit-trial","21","119147","0.0-21.0","battery-v0.2","","","-1","","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","test","1","19","2","2","win","no-go","0"
"pit-trial","22","124649","0.0-22.0","battery-v0.2","","","-1","","&#9730;","elianto","#3366ff99","32","-1","0","0","","0","test","1","20","1","1","win","go","0"
"pit-instructions","23","258472","0.0-23.0","battery-v0.2","","","133821.5","[{""page_index"":0,""viewing_time"":132100.89999999944},{""page_index"":1,""viewing_time"":1719.9000000003725}]","","","","","","","","","","","","","","","","",""
"pit-trial","24","263820","0.0-24.0","battery-v0.2","","","1844.1000000005588","","Q","elianto","#3366ff99","-1","32","0","0","3344.100000000559","1","test","2","21","0","2","win","no-go","0"
"pit-trial","25","269323","0.0-25.0","battery-v0.2","","","-1","","N","elianto","#3366ff99","-1","-1","1","0","","0","test","2","22","1","2","win","no-go","1"
"pit-trial","26","274825","0.0-26.0","battery-v0.2","","","-1","","X","elianto","#f73b6a7A","32","-1","0","-10","","0","test","2","23","3","3","lose","go","0"
"pit-trial","27","279108","0.0-27.0","battery-v0.2","","","780.0999999996275","","F","elianto","#3366ff99","32","32","1","+10","2280.100000000559","1","test","2","24","2","1","win","go","0"
"pit-trial","28","284611","0.0-28.0","battery-v0.2","","","-1","","X","elianto","#f73b6a7A","32","-1","0","-10","","0","test","2","25","3","3","lose","go","0"
"pit-trial","29","290112","0.0-29.0","battery-v0.2","","","-1","","Q","elianto","#3366ff99","-1","-1","1","+10","","0","test","2","26","0","2","win","no-go","0"
"pit-trial","30","295614","0.0-30.0","battery-v0.2","","","-1","","N","elianto","#3366ff99","-1","-1","1","+10","","0","test","2","27","1","2","win","no-go","0"
"pit-trial","31","301116","0.0-31.0","battery-v0.2","","","-1","","F","elianto","#3366ff99","32","-1","0","0","","0","test","2","28","2","1","win","go","0"
