"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","quiz","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","34221","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2706.7000000011176},{""page_index"":1,""viewing_time"":3539.9000000003725},{""page_index"":2,""viewing_time"":4308.5999999996275},{""page_index"":3,""viewing_time"":2697},{""page_index"":4,""viewing_time"":2916},{""page_index"":5,""viewing_time"":3637.199999999255},{""page_index"":6,""viewing_time"":1838.2000000011176},{""page_index"":7,""viewing_time"":3197.699999999255},{""page_index"":8,""viewing_time"":4978.300000000745},{""page_index"":9,""viewing_time"":931.8999999985099},{""page_index"":10,""viewing_time"":2265.4000000003725},{""page_index"":11,""viewing_time"":1176.5999999996275}]","34195.60000000149","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","38723","0.0-1.0-1.0-0.0","battery-v0.2","","992.4000000003725","&#9776;","elianto","#3366ff99","32","32","1","+10","2493.300000000745","1","0","1","","","","","","","","","","",""
"pit-trial","3","42634","0.0-1.0-1.0-1.0","battery-v0.2","","404.80000000074506","&#9776;","elianto","#3366ff99","32","32","1","+10","1497.699999999255,1905.5999999996275","2","0","1","","","","","","","","","","",""
"pit-trial","4","48030","0.0-1.0-1.0-2.0","battery-v0.2","","1890.199999999255","&#9776;","elianto","#3366ff99","32","32","1","+10","3391","1","0","1","","","","","","","","","","",""
"pit-trial","5","53540","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","","","","","","","","","","",""
"pit-trial","6","59050","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","","","","","","","","","","",""
"pit-trial","7","63382","0.0-1.0-1.1-0.1","battery-v0.2","","824.5999999996275","&#9776;","elianto","#3366ff99","32","32","1","+10","2325.5","1","0","1","","","","","","","","","","",""
"pit-trial","8","68894","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","","","","","","","","","","",""
"pit-trial","9","74403","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","4170.799999998882","1","0","1","","","","","","","","","","",""
"pit-trial","10","78718","0.0-1.0-1.1-3.1","battery-v0.2","","804.9000000003725","&#9776;","elianto","#3366ff99","32","32","1","0","2305.199999999255","1","0","1","","","","","","","","","","",""
"pit-trial","11","82456","0.0-1.0-1.1-4.1","battery-v0.2","","232.7999999988824","&#9776;","elianto","#3366ff99","32","32","1","+10","1733.9000000003725","1","0","1","","","","","","","","","","",""
"pit-trial","12","86287","0.0-1.0-1.2-0.2","battery-v0.2","","321.19999999925494","&#9776;","elianto","#3366ff99","32","32","1","+10","1477,1824.0999999996275","2","0","1","","","","","","","","","","",""
"pit-trial","13","90079","0.0-1.0-1.2-1.2","battery-v0.2","","280.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1782.5","1","0","1","","","","","","","","","","",""
"pit-trial","14","93681","0.0-1.0-1.2-2.2","battery-v0.2","","92.59999999962747","&#9776;","elianto","#3366ff99","32","32","1","+10","1592.800000000745,1946.4000000003725","2","0","1","","","","","","","","","","",""
"pit-trial","15","97381","0.0-1.0-1.2-3.2","battery-v0.2","","195.5","&#9776;","elianto","#3366ff99","32","32","1","0","1696.2000000011176","1","0","1","","","","","","","","","","",""
"pit-trial","16","101091","0.0-1.0-1.2-4.2","battery-v0.2","","203.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1348.7999999988824,1703.7999999988824","2","0","1","","","","","","","","","","",""
