"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","quiz"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","5690","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2982.399999999907},{""page_index"":1,""viewing_time"":665.1000000000931},{""page_index"":2,""viewing_time"":196.39999999990687},{""page_index"":3,""viewing_time"":156.30000000004657},{""page_index"":4,""viewing_time"":155.5999999998603},{""page_index"":5,""viewing_time"":282.4000000001397},{""page_index"":6,""viewing_time"":147.39999999990687},{""page_index"":7,""viewing_time"":140.5},{""page_index"":8,""viewing_time"":360.10000000009313},{""page_index"":9,""viewing_time"":139.5999999998603},{""page_index"":10,""viewing_time"":290},{""page_index"":11,""viewing_time"":164.20000000018626}]","5681.399999999907","","","","","","","","","","","","","","",""
"pit-trial","2","7906","0.0-1.0-1.0-0.0","battery-v0.2","","211.30000000004657","&#9776;","elianto","#3366ff99","32","32","1","+10","1711.3000000000466","1","0","1","","","",""
"pit-trial","3","10015","0.0-1.0-1.0-1.0","battery-v0.2","","106.19999999995343","&#9776;","elianto","#3366ff99","32","32","1","+10","1606.3000000000466","1","0","1","","","",""
"pit-trial","4","12424","0.0-1.0-1.0-2.0","battery-v0.2","","406","&#9776;","elianto","#3366ff99","32","32","1","+10","1457.1000000000931,1905.9000000001397","2","0","1","","","",""
"pit-trial","5","14584","0.0-1.0-1.0-3.0","battery-v0.2","","155.10000000009313","&#9776;","elianto","#3366ff99","32","32","1","0","1655.1999999999534","1","0","1","","","",""
"pit-trial","6","16759","0.0-1.0-1.0-4.0","battery-v0.2","","172.80000000004657","&#9776;","elianto","#3366ff99","32","32","1","+10","1672.7999999998137","1","0","1","","","",""
"call-function","7","16761","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","8","20059","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1732.6999999999534},{""page_index"":1,""viewing_time"":538},{""page_index"":2,""viewing_time"":322},{""page_index"":3,""viewing_time"":164},{""page_index"":4,""viewing_time"":156.19999999995343},{""page_index"":5,""viewing_time"":384.20000000018626}]","3297.899999999907","","","","","","","","","","","","","","",""
"pit-trial","9","22563","0.0-1.0-4.0-0.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","10","25067","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","11","27570","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","12","30072","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","",""
"pit-trial","13","32574","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","","","",""
"call-function","14","32577","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","15","41627","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6124.300000000279},{""page_index"":1,""viewing_time"":1642.1999999997206},{""page_index"":2,""viewing_time"":484.10000000009313},{""page_index"":3,""viewing_time"":421.20000000018626},{""page_index"":4,""viewing_time"":376.79999999981374}]","9049.400000000373","","","","","","","","","","","","","","",""
