"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice"
"pavlovia","0","15","0.0-0.0","battery-v0.2","","","","","","","","","","","","",""
"pit-instructions","1","99209","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1887.4000000059605},{""page_index"":1,""viewing_time"":20460.59999999404},{""page_index"":2,""viewing_time"":3335.699999988079},{""page_index"":3,""viewing_time"":2162.5999999940395},{""page_index"":4,""viewing_time"":5446.700000017881},{""page_index"":5,""viewing_time"":5714.0999999940395},{""page_index"":6,""viewing_time"":6843.0999999940395},{""page_index"":7,""viewing_time"":1056.4000000059605},{""page_index"":8,""viewing_time"":5412.300000011921},{""page_index"":9,""viewing_time"":4687.5999999940395},{""page_index"":10,""viewing_time"":9983.59999999404},{""page_index"":11,""viewing_time"":32205.59999999404}]","99197","","","","","","","","","","",""
"pit-trial","2","104720","0.0-1.0-1.0-0.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","3611.800000011921","1","0","1"
"pit-trial","3","110228","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","4","118583","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","5","126561","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1"
"pit-trial","6","133217","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","7","138734","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","8","144244","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","9","149016","0.0-1.0-1.1-2.1","battery-v0.2","","1261.699999988079","&#9776;","elianto","#3366ff99","32","32","1","+10","2762.199999988079","1","0","1"
"pit-trial","10","154187","0.0-1.0-1.1-3.1","battery-v0.2","","1660.800000011921","&#9776;","elianto","#3366ff99","32","32","1","0","3162.5","1","0","1"
"pit-trial","11","159695","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","12","166979","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
