"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","","","","","","","","","","","",""
"pit-instructions","1","4507","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1674.8999999985099},{""page_index"":1,""viewing_time"":159.89999999850988},{""page_index"":2,""viewing_time"":170.40000000596046},{""page_index"":3,""viewing_time"":150},{""page_index"":4,""viewing_time"":155.39999999850988},{""page_index"":5,""viewing_time"":163.5},{""page_index"":6,""viewing_time"":182.19999999552965},{""page_index"":7,""viewing_time"":169.10000000149012},{""page_index"":8,""viewing_time"":625.6000000014901},{""page_index"":9,""viewing_time"":399.20000000298023},{""page_index"":10,""viewing_time"":337.59999999403954},{""page_index"":11,""viewing_time"":306.40000000596046}]","4494.60000000149","","","","","","","","","","",""
"pit-trial","2","8973","0.0-1.0-1.0-0.0","battery-v0.2","","956","&#9776;","elianto","#3366ff99","32","32","1","+10","2457.4000000059605","1","0","1"
"pit-trial","3","12835","0.0-1.0-1.0-1.0","battery-v0.2","","356.19999999552965","&#9776;","elianto","#3366ff99","32","32","1","+10","939.7000000029802,1405.6000000014901,1857","3","0","1"
"pit-trial","4","16726","0.0-1.0-1.0-2.0","battery-v0.2","","380.8999999985099","&#9776;","elianto","#3366ff99","32","32","1","+10","1882.3999999985099","1","0","1"
"pit-trial","5","22174","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1"
"pit-trial","6","27683","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","7","33188","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","8","38696","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","9","44207","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","10","49710","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1"
"pit-trial","11","55221","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","12","60730","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","13","66241","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","14","71753","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","15","77258","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1"
"pit-trial","16","82767","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","17","88277","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","18","93787","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","19","99296","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1"
"pit-trial","20","104806","0.0-1.0-1.3-3.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1"
