"trial_type","trial_index","time_elapsed","internal_node_id","task_version","responses","num_errors","rt","view_history"
"pavlovia","0","9","0.0-0.0","battery-v0.2","","","",""
"pit-comprehension","1","2679","0.0-1.0-0.0-0.0","battery-v0.2","SPACE","0","2666.300000011921",""
"pit-instructions","2","3778","0.0-1.0-0.0-1.0","battery-v0.2","","","1097.800000011921","[{""page_index"":0,""viewing_time"":1097.5}]"
"pit-comprehension","3","5929","0.0-1.0-1.0-0.0","battery-v0.2","10","0","2148.199999988079",""
"pit-instructions","4","7044","0.0-1.0-1.0-1.0","battery-v0.2","","","1113.7999999523163","[{""page_index"":0,""viewing_time"":1113.5999999642372}]"
"pit-comprehension","5","9012","0.0-1.0-2.0-0.0","battery-v0.2","10","0","1964.8999999761581",""
"pit-instructions","6","10144","0.0-1.0-2.0-1.0","battery-v0.2","","","1130.4000000357628","[{""page_index"":0,""viewing_time"":1130.2000000476837}]"
"pit-comprehension","7","12061","0.0-1.0-3.0-0.0","battery-v0.2","True","0","1915.199999988079",""
"pit-instructions","8","13827","0.0-1.0-3.0-1.0","battery-v0.2","","","1764.0999999642372","[{""page_index"":0,""viewing_time"":1763.8999999761581}]"
"pit-comprehension","9","18978","0.0-1.0-4.0-0.0","battery-v0.2","True","0","5148.099999964237",""
"pit-instructions","10","21843","0.0-1.0-4.0-1.0","battery-v0.2","","","2863.300000011921","[{""page_index"":0,""viewing_time"":2863.100000023842}]"
"pit-comprehension","11","89957","0.0-1.0-5.0-0.0","battery-v0.2","True","0","68113.59999996424",""
"pit-instructions","12","95373","0.0-1.0-5.0-1.0","battery-v0.2","","","5413.299999952316","[{""page_index"":0,""viewing_time"":1179.7999999523163},{""page_index"":1,""viewing_time"":800.4000000357628},{""page_index"":2,""viewing_time"":582.8999999761581},{""page_index"":3,""viewing_time"":501.30000001192093},{""page_index"":4,""viewing_time"":432.10000002384186},{""page_index"":5,""viewing_time"":216.69999998807907},{""page_index"":6,""viewing_time"":166.5},{""page_index"":7,""viewing_time"":185},{""page_index"":8,""viewing_time"":181.5},{""page_index"":9,""viewing_time"":200.30000001192093},{""page_index"":10,""viewing_time"":200},{""page_index"":11,""viewing_time"":200},{""page_index"":12,""viewing_time"":200},{""page_index"":13,""viewing_time"":182.89999997615814},{""page_index"":14,""viewing_time"":183.69999998807907}]"
