"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","8","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","4336","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1442.0999999642372},{""page_index"":1,""viewing_time"":165.4000000357628},{""page_index"":2,""viewing_time"":449.2999999523163},{""page_index"":3,""viewing_time"":417.10000002384186},{""page_index"":4,""viewing_time"":266.30000001192093},{""page_index"":5,""viewing_time"":183.19999998807907},{""page_index"":6,""viewing_time"":150.60000002384186},{""page_index"":7,""viewing_time"":166.5},{""page_index"":8,""viewing_time"":166.69999998807907},{""page_index"":9,""viewing_time"":283.19999998807907},{""page_index"":10,""viewing_time"":216.69999998807907},{""page_index"":11,""viewing_time"":416.80000001192093}]","4325.699999988079","","","","","","","","","","","","","",""
"pit-trial","2","8568","0.0-1.0-1.0-0.0","battery-v0.2","","726.8999999761581","&#9776;","elianto","#3366ff99","32","32","1","+10","2227","1","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","3","14072","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","4","19585","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","5","25094","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","6","30601","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","7","36110","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","8","41614","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","9","47120","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","10","52622","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","11","58128","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","12","63632","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","13","69140","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","14","75218","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
