"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","4888","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2659.800000011921},{""page_index"":1,""viewing_time"":366.5},{""page_index"":2,""viewing_time"":333.39999997615814},{""page_index"":3,""viewing_time"":166.19999998807907},{""page_index"":4,""viewing_time"":166.9000000357628},{""page_index"":5,""viewing_time"":249.69999998807907},{""page_index"":6,""viewing_time"":133.19999998807907},{""page_index"":7,""viewing_time"":150.5},{""page_index"":8,""viewing_time"":166.69999998807907},{""page_index"":9,""viewing_time"":149.70000004768372},{""page_index"":10,""viewing_time"":167},{""page_index"":11,""viewing_time"":166.5999999642372}]","4876.899999976158","","","","","","","","","","","","","",""
"pit-trial","2","10023","0.0-1.0-1.0-0.0","battery-v0.2","","1631.300000011921","&#9776;","elianto","#3366ff99","32","32","1","+10","3132.300000011921","1","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","3","14546","0.0-1.0-1.0-1.0","battery-v0.2","","1016.6000000238419","&#9776;","elianto","#3366ff99","32","32","1","+10","2519.7000000476837","1","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","4","18407","0.0-1.0-1.0-2.0","battery-v0.2","","355.10000002384186","&#9776;","elianto","#3366ff99","32","32","1","+10","1855.5","1","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","5","22897","0.0-1.0-1.0-3.0","battery-v0.2","","982.4000000357628","&#9776;","elianto","#3366ff99","32","32","1","0","2483.400000035763","1","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","6","28405","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","7","33916","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","3542,4127.300000011921,4554.599999964237,4914.800000011921,5330.599999964237","5","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","8","39424","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","9","44930","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","10","50436","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","11","55940","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","12","61449","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","13","66951","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","14","72459","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","15","77965","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","16","83469","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","17","88978","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
