"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","5","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","3758","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1485.2000000476837},{""page_index"":1,""viewing_time"":166.5999999642372},{""page_index"":2,""viewing_time"":149.9000000357628},{""page_index"":3,""viewing_time"":166.29999995231628},{""page_index"":4,""viewing_time"":150.30000001192093},{""page_index"":5,""viewing_time"":167},{""page_index"":6,""viewing_time"":183.10000002384186},{""page_index"":7,""viewing_time"":166.69999998807907},{""page_index"":8,""viewing_time"":183},{""page_index"":9,""viewing_time"":299.80000001192093},{""page_index"":10,""viewing_time"":200.5},{""page_index"":11,""viewing_time"":433.19999998807907}]","3751.800000011921","","","","","","","","","","","","","",""
"pit-trial","2","7593","0.0-1.0-1.0-0.0","battery-v0.2","","327","&#9776;","elianto","#3366ff99","32","32","1","+10","1832","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","3","11352","0.0-1.0-1.0-1.0","battery-v0.2","","253.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1326,1754.300000011921","2","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","4","15008","0.0-1.0-1.0-2.0","battery-v0.2","","150.30000001192093","&#9776;","elianto","#3366ff99","32","32","1","+10","1177.800000011921,1651","2","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","5","18631","0.0-1.0-1.0-3.0","battery-v0.2","","117","&#9776;","elianto","#3366ff99","32","32","1","0","774.3000000119209,1211.5999999642372,1617","3","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","6","24140","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","7","29646","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","8","35153","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","9","40664","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","10","46167","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","11","51670","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","12","57179","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","13","62683","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","14","68187","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","15","73694","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","16","79201","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","17","84708","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","18","90216","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","19","95722","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
