"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","2808","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1069.5},{""page_index"":1,""viewing_time"":150.19999998807907},{""page_index"":2,""viewing_time"":166.89999997615814},{""page_index"":3,""viewing_time"":166.80000001192093},{""page_index"":4,""viewing_time"":149.80000001192093},{""page_index"":5,""viewing_time"":150.0999999642372},{""page_index"":6,""viewing_time"":149.60000002384186},{""page_index"":7,""viewing_time"":166.60000002384186},{""page_index"":8,""viewing_time"":150.5999999642372},{""page_index"":9,""viewing_time"":149.5},{""page_index"":10,""viewing_time"":150.30000001192093},{""page_index"":11,""viewing_time"":183.30000001192093}]","2803.5","","","","","","","","","","","","","","",""
"pit-trial","2","8196","0.0-1.0-1.0-0.0","battery-v0.2","","1883.800000011921","&#9776;","elianto","#3366ff99","32","32","1","+10","3384.400000035763","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","3","12764","0.0-1.0-1.0-1.0","battery-v0.2","","1059.800000011921","&#9776;","elianto","#3366ff99","32","32","1","+10","2565","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","4","16587","0.0-1.0-1.0-2.0","battery-v0.2","","317.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1821.699999988079","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","5","20649","0.0-1.0-1.0-3.0","battery-v0.2","","558.7999999523163","&#9776;","elianto","#3366ff99","32","32","1","0","2059.100000023842","1","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","6","24400","0.0-1.0-1.0-4.0","battery-v0.2","","243.5","&#9776;","elianto","#3366ff99","32","32","1","+10","944.5,1339.5,1744.4000000357628","3","0","1","997","3&age=997&participant_ID=5&order=1","5",""
"call-function","7","24401","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","8","28524","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3289.7999999523163},{""page_index"":1,""viewing_time"":199.30000001192093},{""page_index"":2,""viewing_time"":166.9000000357628},{""page_index"":3,""viewing_time"":149.89999997615814},{""page_index"":4,""viewing_time"":166.89999997615814},{""page_index"":5,""viewing_time"":150.10000002384186}]","4123.199999988079","","","","","","","","","","","","","","",""
"pit-trial","9","32161","0.0-1.0-4.0-0.0","battery-v0.2","","126.89999997615814","&#9761;","elianto","#3366ff99","-1","32","0","0","1630.8999999761581","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","10","35667","0.0-1.0-4.0-1.0","battery-v0.2","","1.600000023841858","&#9761;","elianto","#3366ff99","-1","32","0","0","1504.4000000357628","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","11","39225","0.0-1.0-4.0-2.0","battery-v0.2","","51","&#9761;","elianto","#3366ff99","-1","32","0","0","1552.199999988079","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","12","42927","0.0-1.0-4.0-3.0","battery-v0.2","","195","&#9761;","elianto","#3366ff99","-1","32","0","0","918.6999999880791,1335.3999999761581,1695.5999999642372","3","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","13","46522","0.0-1.0-4.0-4.0","battery-v0.2","","88.30000001192093","&#9761;","elianto","#3366ff99","-1","32","0","+10","1266.699999988079,1593.4000000357628","2","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","14","50234","0.0-1.0-4.1-0.1","battery-v0.2","","206","&#9761;","elianto","#3366ff99","-1","32","0","0","1035.1000000238419,1362.300000011921,1710.5","3","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","15","54027","0.0-1.0-4.1-1.1","battery-v0.2","","289.5","&#9761;","elianto","#3366ff99","-1","32","0","0","1789.9000000357628","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","16","57662","0.0-1.0-4.1-2.1","battery-v0.2","","129.69999998807907","&#9761;","elianto","#3366ff99","-1","32","0","0","1631.0999999642372","1","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","17","63167","0.0-1.0-4.1-3.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","18","68673","0.0-1.0-4.1-4.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","19","74178","0.0-1.0-4.2-0.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","20","79681","0.0-1.0-4.2-1.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","21","85189","0.0-1.0-4.2-2.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","22","90694","0.0-1.0-4.2-3.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"pit-trial","23","96202","0.0-1.0-4.2-4.2","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","997","3&age=997&participant_ID=5&order=1","5",""
"call-function","24","96203","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","",""
