"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","5","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","4625","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2252.600000023842},{""page_index"":1,""viewing_time"":232.5},{""page_index"":2,""viewing_time"":167.10000002384186},{""page_index"":3,""viewing_time"":166.5},{""page_index"":4,""viewing_time"":166.79999995231628},{""page_index"":5,""viewing_time"":166.70000004768372},{""page_index"":6,""viewing_time"":133.19999998807907},{""page_index"":7,""viewing_time"":183.5},{""page_index"":8,""viewing_time"":166.5},{""page_index"":9,""viewing_time"":433.30000001192093},{""page_index"":10,""viewing_time"":250},{""page_index"":11,""viewing_time"":300.0999999642372}]","4619.100000023842","","","","","","","","","","","","","",""
"pit-trial","2","8930","0.0-1.0-1.0-0.0","battery-v0.2","","801","&#9776;","elianto","#3366ff99","32","32","1","+10","2303.400000035763","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","3","12680","0.0-1.0-1.0-1.0","battery-v0.2","","240.69999998807907","&#9776;","elianto","#3366ff99","32","32","1","+10","1328.7000000476837,1744","2","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","4","16446","0.0-1.0-1.0-2.0","battery-v0.2","","257","&#9776;","elianto","#3366ff99","32","32","1","+10","1762.300000011921","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","5","20148","0.0-1.0-1.0-3.0","battery-v0.2","","191.39999997615814","&#9776;","elianto","#3366ff99","32","32","1","0","1696.5999999642372","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","6","25654","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","7","31160","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","8","36669","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","9","42173","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","10","47680","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","11","53188","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","12","58696","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","13","64203","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","14","69709","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","15","75215","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","16","80723","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","17","86230","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","18","91736","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","19","97241","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","20","102745","0.0-1.0-1.3-3.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","21","108784","0.0-1.0-1.3-4.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
