"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","2991","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1269.199999988079},{""page_index"":1,""viewing_time"":149.89999997615814},{""page_index"":2,""viewing_time"":149.60000002384186},{""page_index"":3,""viewing_time"":166.5999999642372},{""page_index"":4,""viewing_time"":150.60000002384186},{""page_index"":5,""viewing_time"":166.5},{""page_index"":6,""viewing_time"":150.10000002384186},{""page_index"":7,""viewing_time"":149.5999999642372},{""page_index"":8,""viewing_time"":167.10000002384186},{""page_index"":9,""viewing_time"":133.30000001192093},{""page_index"":10,""viewing_time"":166.5999999642372},{""page_index"":11,""viewing_time"":166.60000002384186}]","2986.099999964237","","","","","","","","","","","","","",""
"pit-trial","2","6730","0.0-1.0-1.0-0.0","battery-v0.2","","233.89999997615814","&#9776;","elianto","#3366ff99","32","32","1","+10","1341.8999999761581,1735.5999999642372","2","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","3","10296","0.0-1.0-1.0-1.0","battery-v0.2","","57.39999997615814","&#9776;","elianto","#3366ff99","32","32","1","+10","1236.199999988079,1562.5999999642372,1698.3999999761581","3","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","4","13872","0.0-1.0-1.0-2.0","battery-v0.2","","70.80000001192093","&#9776;","elianto","#3366ff99","32","32","1","+10","1193,1338.5,1575.300000011921","3","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","5","17555","0.0-1.0-1.0-3.0","battery-v0.2","","177.10000002384186","&#9776;","elianto","#3366ff99","32","32","1","0","1383.5,1677.2000000476837,1879.800000011921","3","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","6","23058","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","7","28565","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","8","34070","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","9","39571","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","10","45079","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","11","50586","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","12","56093","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","13","61597","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
