"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","3720","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1847.1000000238419},{""page_index"":1,""viewing_time"":183.19999998807907},{""page_index"":2,""viewing_time"":183.30000001192093},{""page_index"":3,""viewing_time"":149.60000002384186},{""page_index"":4,""viewing_time"":166.69999998807907},{""page_index"":5,""viewing_time"":150.5},{""page_index"":6,""viewing_time"":183.19999998807907},{""page_index"":7,""viewing_time"":149.39999997615814},{""page_index"":8,""viewing_time"":184},{""page_index"":9,""viewing_time"":166.60000002384186},{""page_index"":10,""viewing_time"":166.5},{""page_index"":11,""viewing_time"":183.5}]","3713.900000035763","","","","","","","","","","","","","",""
"pit-trial","2","7288","0.0-1.0-1.0-0.0","battery-v0.2","","64","&#9776;","elianto","#3366ff99","32","32","1","+10","1564.800000011921","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","3","11156","0.0-1.0-1.0-1.0","battery-v0.2","","364.10000002384186","&#9776;","elianto","#3366ff99","32","32","1","+10","1123.8999999761581,1495.1000000238419,1865.300000011921","3","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","4","14817","0.0-1.0-1.0-2.0","battery-v0.2","","149","&#9776;","elianto","#3366ff99","32","32","1","+10","1238.1000000238419,1654.199999988079","2","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","5","18648","0.0-1.0-1.0-3.0","battery-v0.2","","326.69999998807907","&#9776;","elianto","#3366ff99","32","32","1","0","1469.699999988079,1828.5999999642372,2076.5,2334.899999976158","4","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","6","24151","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","7","29069","0.0-1.0-1.1-0.1","battery-v0.2","","1411.300000011921","&#9776;","elianto","#3366ff99","32","32","1","+10","2911.900000035763","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","8","32996","0.0-1.0-1.1-1.1","battery-v0.2","","416.89999997615814","&#9776;","elianto","#3366ff99","32","32","1","+10","1921.1000000238419","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","9","38504","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","10","42172","0.0-1.0-1.1-3.1","battery-v0.2","","164.9000000357628","&#9776;","elianto","#3366ff99","32","32","1","0","1665.800000011921","1","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","11","45922","0.0-1.0-1.1-4.1","battery-v0.2","","242.60000002384186","&#9776;","elianto","#3366ff99","32","32","1","+10","1428.300000011921,1742.7000000476837","2","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","12","51432","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","13","56937","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","14","62439","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","15","67948","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","16","73456","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","17","78962","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","18","84464","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
"pit-trial","19","89967","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","997","3&age=997&participant_ID=5&order=1","5"
