"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","19","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","269946","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1268.1000000014901},{""page_index"":1,""viewing_time"":2136.199999999255},{""page_index"":2,""viewing_time"":3766},{""page_index"":3,""viewing_time"":728},{""page_index"":2,""viewing_time"":4427.199999999255},{""page_index"":3,""viewing_time"":7529.60000000149},{""page_index"":4,""viewing_time"":13495.5},{""page_index"":5,""viewing_time"":23296.699999999255},{""page_index"":6,""viewing_time"":42650.5},{""page_index"":7,""viewing_time"":2233.699999999255},{""page_index"":8,""viewing_time"":3755.5},{""page_index"":9,""viewing_time"":33290.70000000298},{""page_index"":8,""viewing_time"":57994.099999997765},{""page_index"":9,""viewing_time"":68814.80000000075},{""page_index"":10,""viewing_time"":870.3000000007451},{""page_index"":11,""viewing_time"":3666.199999999255}]","269924.700000003","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","273673","0.0-1.0-1.0-0.0","battery-v0.2","","1214.9000000022352","&#9776;","elianto","#3366ff99","32","32","1","+10","1717","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","3","278187","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","4","282703","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","5","285936","0.0-1.0-1.0-3.0","battery-v0.2","","720.3999999985099","&#9776;","elianto","#3366ff99","32","32","1","0","1221.699999999255","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","6","288841","0.0-1.0-1.0-4.0","battery-v0.2","","400.4000000022352","&#9776;","elianto","#3366ff99","32","32","1","+10","900.8000000007451","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","7","292065","0.0-1.0-1.1-0.1","battery-v0.2","","710.8999999985099","&#9776;","elianto","#3366ff99","32","32","1","+10","1212.699999999255","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","8","296064","0.0-1.0-1.1-1.1","battery-v0.2","","1490.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1990.699999999255","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","9","300579","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","10","303944","0.0-1.0-1.1-3.1","battery-v0.2","","853.5999999977648","&#9776;","elianto","#3366ff99","32","32","1","0","1354.5","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","11","307129","0.0-1.0-1.1-4.1","battery-v0.2","","673.6000000014901","&#9776;","elianto","#3366ff99","32","32","1","+10","1175.3999999985099","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","12","310368","0.0-1.0-1.2-0.2","battery-v0.2","","728.0999999977648","&#9776;","elianto","#3366ff99","32","32","1","+10","1228.699999999255","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","13","313726","0.0-1.0-1.2-1.2","battery-v0.2","","847.1999999992549","&#9776;","elianto","#3366ff99","32","32","1","+10","1348","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","14","316545","0.0-1.0-1.2-2.2","battery-v0.2","","307.3999999985099","&#9776;","elianto","#3366ff99","32","32","1","+10","809.7999999970198","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","15","319598","0.0-1.0-1.2-3.2","battery-v0.2","","542.5","&#9776;","elianto","#3366ff99","32","32","1","0","1043.0999999977648","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","16","322661","0.0-1.0-1.2-4.2","battery-v0.2","","557.7000000029802","&#9776;","elianto","#3366ff99","32","32","1","+10","1058.5","1","0","1","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"call-function","17","322665","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
