"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","9","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","4098","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1937.8999999761581},{""page_index"":1,""viewing_time"":185.69999992847443},{""page_index"":2,""viewing_time"":164.20000004768372},{""page_index"":3,""viewing_time"":166.39999997615814},{""page_index"":4,""viewing_time"":166.30000007152557},{""page_index"":5,""viewing_time"":151},{""page_index"":6,""viewing_time"":182.79999995231628},{""page_index"":7,""viewing_time"":166.79999995231628},{""page_index"":8,""viewing_time"":166.80000007152557},{""page_index"":9,""viewing_time"":166.5},{""page_index"":10,""viewing_time"":200},{""page_index"":11,""viewing_time"":432.60000002384186}]","4087.399999976158","","","","","","","","","","","","","",""
"pit-trial","2","6933","0.0-1.0-1.0-0.0","battery-v0.2","","327.7000000476837","&#9776;","elianto","#3366ff99","32","32","1","+10","828","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","3","10008","0.0-1.0-1.0-1.0","battery-v0.2","","572.2000000476837","&#9776;","elianto","#3366ff99","32","32","1","+10","1072.1000000238419","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","4","14511","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","5","17817","0.0-1.0-1.0-3.0","battery-v0.2","","799.6000000238419","&#9776;","elianto","#3366ff99","32","32","1","0","1300.6000000238419","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","6","21283","0.0-1.0-1.0-4.0","battery-v0.2","","959.8999999761581","&#9776;","elianto","#3366ff99","32","32","1","+10","1459.7999999523163","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","7","24519","0.0-1.0-1.1-0.1","battery-v0.2","","732.8999999761581","&#9776;","elianto","#3366ff99","32","32","1","+10","1233.2999999523163","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","8","27691","0.0-1.0-1.1-1.1","battery-v0.2","","668.8999999761581","&#9776;","elianto","#3366ff99","32","32","1","+10","1169.9000000953674","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","9","32197","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","10","36701","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","11","41206","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","12","45711","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","13","50217","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","14","54726","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","15","59229","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","16","63736","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","17","68243","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","18","72748","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","19","77251","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","20","81754","0.0-1.0-1.3-3.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","21","86258","0.0-1.0-1.3-4.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","22","90761","0.0-1.0-1.4-0.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","23","95271","0.0-1.0-1.4-1.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","24","99774","0.0-1.0-1.4-2.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","25","104276","0.0-1.0-1.4-3.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","26","108787","0.0-1.0-1.4-4.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","27","113295","0.0-1.0-1.5-0.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
