"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","5320","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3393.399999976158},{""page_index"":1,""viewing_time"":149.60000002384186},{""page_index"":2,""viewing_time"":200.10000002384186},{""page_index"":3,""viewing_time"":168.69999992847443},{""page_index"":4,""viewing_time"":181.39999997615814},{""page_index"":5,""viewing_time"":166.70000004768372},{""page_index"":6,""viewing_time"":166.60000002384186},{""page_index"":7,""viewing_time"":182.89999997615814},{""page_index"":8,""viewing_time"":167.10000002384186},{""page_index"":9,""viewing_time"":183.19999992847443},{""page_index"":10,""viewing_time"":166.60000002384186},{""page_index"":11,""viewing_time"":183.89999997615814}]","5310.799999952316","","","","","","","","","","","","","",""
"pit-trial","2","8667","0.0-1.0-1.0-0.0","battery-v0.2","","843.8000000715256","&#9776;","elianto","#3366ff99","32","32","1","+10","1343.7999999523163","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","3","12101","0.0-1.0-1.0-1.0","battery-v0.2","","927.7000000476837","&#9776;","elianto","#3366ff99","32","32","1","+10","1427.9000000953674","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","4","16170","0.0-1.0-1.0-2.0","battery-v0.2","","1565.7999999523163","&#9776;","elianto","#3366ff99","32","32","1","+10","2066.899999976158","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","5","20678","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","6","25188","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","7","29691","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","8","34199","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","9","38705","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","10","43211","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","11","47714","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","12","52225","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
