"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","8","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","7125","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3781.600000023842},{""page_index"":1,""viewing_time"":183.5},{""page_index"":2,""viewing_time"":183.39999997615814},{""page_index"":3,""viewing_time"":183.30000007152557},{""page_index"":4,""viewing_time"":182.59999990463257},{""page_index"":5,""viewing_time"":167.40000009536743},{""page_index"":6,""viewing_time"":300},{""page_index"":7,""viewing_time"":399.7999999523163},{""page_index"":8,""viewing_time"":416.7000000476837},{""page_index"":9,""viewing_time"":433.1999999284744},{""page_index"":10,""viewing_time"":466.7000000476837},{""page_index"":11,""viewing_time"":416.6999999284744}]","7115.600000023842","","","","","","","","","","","","","",""
"pit-trial","2","10549","0.0-1.0-1.0-0.0","battery-v0.2","","919","&#9776;","elianto","#3366ff99","32","32","1","+10","1419","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","3","14116","0.0-1.0-1.0-1.0","battery-v0.2","","1059.8000000715256","&#9776;","elianto","#3366ff99","32","32","1","+10","1560.8000000715256","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","4","17656","0.0-1.0-1.0-2.0","battery-v0.2","","1036.2999999523163","&#9776;","elianto","#3366ff99","32","32","1","+10","1538.2999999523163","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","5","20716","0.0-1.0-1.0-3.0","battery-v0.2","","558","&#9776;","elianto","#3366ff99","32","32","1","0","359.89999997615814,1058","2","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","6","25224","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","7","29731","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","8","34239","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","9","38747","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","10","43249","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","11","47756","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","12","52258","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
