"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","5901","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3508.2000000476837},{""page_index"":1,""viewing_time"":166.79999995231628},{""page_index"":2,""viewing_time"":182.80000007152557},{""page_index"":3,""viewing_time"":183.79999995231628},{""page_index"":4,""viewing_time"":183.20000004768372},{""page_index"":5,""viewing_time"":166.60000002384186},{""page_index"":6,""viewing_time"":200},{""page_index"":7,""viewing_time"":200.39999997615814},{""page_index"":8,""viewing_time"":416.2999999523163},{""page_index"":9,""viewing_time"":216.70000004768372},{""page_index"":10,""viewing_time"":200},{""page_index"":11,""viewing_time"":266.60000002384186}]","5891.800000071526","","","","","","","","","","","","","","",""
"pit-trial","2","9392","0.0-1.0-1.0-0.0","battery-v0.2","","983.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1483.7999999523163","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","3","12659","0.0-1.0-1.0-1.0","battery-v0.2","","763.7000000476837","&#9776;","elianto","#3366ff99","32","32","1","+10","1265.7000000476837","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","4","15858","0.0-1.0-1.0-2.0","battery-v0.2","","692.8999999761581","&#9776;","elianto","#3366ff99","32","32","1","+10","1193.6000000238419","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","5","20367","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","6","24873","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","7","29378","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","8","33887","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","9","38395","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","10","42897","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","11","47404","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","12","51914","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","13","56418","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","14","60920","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","15","65427","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","16","69934","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","17","74439","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","18","78943","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","19","83453","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","20","87958","0.0-1.0-1.3-3.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","21","92461","0.0-1.0-1.3-4.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","22","96971","0.0-1.0-1.4-0.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
"pit-trial","23","101476","0.0-1.0-1.4-1.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5",""
