"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","4970","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1275.1000000238419},{""page_index"":1,""viewing_time"":249.60000002384186},{""page_index"":2,""viewing_time"":183.29999995231628},{""page_index"":3,""viewing_time"":166.39999997615814},{""page_index"":4,""viewing_time"":167},{""page_index"":5,""viewing_time"":333.10000002384186},{""page_index"":6,""viewing_time"":283.2000000476837},{""page_index"":7,""viewing_time"":167},{""page_index"":8,""viewing_time"":450},{""page_index"":9,""viewing_time"":450.10000002384186},{""page_index"":10,""viewing_time"":799.8999999761581},{""page_index"":11,""viewing_time"":433.2999999523163}]","4958.800000071526","","","","","","","","","","","","","",""
"pit-trial","2","8278","0.0-1.0-1.0-0.0","battery-v0.2","","805.2999999523163","&#9776;","elianto","#3366ff99","32","32","1","+10","1305.3000000715256","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","3","11695","0.0-1.0-1.0-1.0","battery-v0.2","","914.3000000715256","&#9776;","elianto","#3366ff99","32","32","1","+10","1414.6000000238419","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","4","15004","0.0-1.0-1.0-2.0","battery-v0.2","","804.6000000238419","&#9776;","elianto","#3366ff99","32","32","1","+10","1305.2999999523163","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","5","18287","0.0-1.0-1.0-3.0","battery-v0.2","","778.8000000715256","&#9776;","elianto","#3366ff99","32","32","1","0","1280.1000000238419","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","6","22789","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","7","27296","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","8","31799","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","9","36309","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","10","40817","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","11","45321","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","12","49889","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
