"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","8","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","3365","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1405.5},{""page_index"":1,""viewing_time"":166.20000004768372},{""page_index"":2,""viewing_time"":149.70000004768372},{""page_index"":3,""viewing_time"":166.89999997615814},{""page_index"":4,""viewing_time"":166.89999997615814},{""page_index"":5,""viewing_time"":166.60000002384186},{""page_index"":6,""viewing_time"":150},{""page_index"":7,""viewing_time"":166.39999997615814},{""page_index"":8,""viewing_time"":149.89999997615814},{""page_index"":9,""viewing_time"":183.80000007152557},{""page_index"":10,""viewing_time"":183.39999997615814},{""page_index"":11,""viewing_time"":299.7999999523163}]","3355.600000023842","","","","","","","","","","","","","",""
"pit-trial","2","6664","0.0-1.0-1.0-0.0","battery-v0.2","","796","&#9776;","elianto","#3366ff99","32","32","1","+10","1296.3000000715256","1","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","3","11173","0.0-1.0-1.0-1.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","4","15675","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","5","20182","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","6","24688","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","7","29193","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","8","33696","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","9","38200","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","10","42704","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","11","47207","0.0-1.0-1.1-4.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","12","51713","0.0-1.0-1.2-0.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","13","56219","0.0-1.0-1.2-1.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
"pit-trial","14","60721","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","9999","3&age=9999&participant_ID=5&order=1","5"
