"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","20","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","",""
"pit-instructions","1","4593","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2574.100000143051},{""page_index"":1,""viewing_time"":177.29999995231628},{""page_index"":2,""viewing_time"":185},{""page_index"":3,""viewing_time"":166.59999990463257},{""page_index"":4,""viewing_time"":169.5},{""page_index"":5,""viewing_time"":181.40000009536743},{""page_index"":6,""viewing_time"":200.79999995231628},{""page_index"":7,""viewing_time"":182.79999995231628},{""page_index"":8,""viewing_time"":166.5},{""page_index"":9,""viewing_time"":181},{""page_index"":10,""viewing_time"":200.80000019073486},{""page_index"":11,""viewing_time"":185}]","4571.400000095367","","","","","","","","","","","","",""
"pit-trial","2","7732","0.0-1.0-1.0-0.0","battery-v0.2","","287.39999985694885","&#9776;","elianto","#3366ff99","32","32","1","+10","676.2000000476837,1137.7999999523163","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","3","10679","0.0-1.0-1.0-1.0","battery-v0.2","","94.89999985694885","&#9776;","elianto","#3366ff99","32","32","1","+10","945.0999999046326,1800.1999998092651","2","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","15531","0.0-1.0-1.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","20392","0.0-1.0-1.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","25245","0.0-1.0-1.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","30097","0.0-1.0-1.1-0.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","34949","0.0-1.0-1.1-1.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","9","39810","0.0-1.0-1.1-2.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","10","44666","0.0-1.0-1.1-3.1","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
