"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","3350","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1090.8000001907349},{""page_index"":1,""viewing_time"":183.69999980926514},{""page_index"":2,""viewing_time"":216.70000004768372},{""page_index"":3,""viewing_time"":166.40000009536743},{""page_index"":4,""viewing_time"":167},{""page_index"":5,""viewing_time"":183},{""page_index"":6,""viewing_time"":150.09999990463257},{""page_index"":7,""viewing_time"":216},{""page_index"":8,""viewing_time"":200.20000004768372},{""page_index"":9,""viewing_time"":184.20000004768372},{""page_index"":10,""viewing_time"":183.29999995231628},{""page_index"":11,""viewing_time"":199.70000004768372},{""page_index"":12,""viewing_time"":200.5}]","3342","","","","","","","","","","","","","","","",""
"pit-trial","2","6516","0.0-1.0-1.0-0.0","battery-v0.2","","310.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1161.7000000476837","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","3","9847","0.0-1.0-1.0-1.0","battery-v0.2","","474.2999999523163","&#9776;","elianto","#3366ff99","32","32","1","+10","1325.0999999046326","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","4","13144","0.0-1.0-1.0-2.0","battery-v0.2","","438.7000000476837","&#9776;","elianto","#3366ff99","32","32","1","+10","1290.9000000953674","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","5","16031","0.0-1.0-1.0-3.0","battery-v0.2","","31.90000009536743","&#9776;","elianto","#3366ff99","32","32","1","0","883.4000000953674","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","6","19342","0.0-1.0-1.0-4.0","battery-v0.2","","453.7000000476837","&#9776;","elianto","#3366ff99","32","32","1","+10","382.7000000476837,844,1305.2999999523163","3","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","7","19344","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","8","42093","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":7428.5},{""page_index"":1,""viewing_time"":5101.100000143051},{""page_index"":2,""viewing_time"":5239.700000047684},{""page_index"":3,""viewing_time"":1755},{""page_index"":4,""viewing_time"":3225.0999999046326}]","22749.700000047684","","","","","","","","","","","","","","","",""
"pit-trial","9","45722","0.0-1.0-4.0-0.0","battery-v0.2","","772.2000000476837","&#9761;","elianto","#3366ff99","-1","32","0","0","1622.7000000476837","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","10","50574","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","11","55428","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","12","60290","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","13","65147","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","14","65149","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","15","85371","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":10902.799999952316},{""page_index"":1,""viewing_time"":2050.0999999046326},{""page_index"":2,""viewing_time"":2934.4000000953674},{""page_index"":3,""viewing_time"":4334.799999952316}]","20222.39999985695","","","","","","","","","","","","","","","",""
"pit-trial","16","88588","0.0-1.0-7.0-0.0","battery-v0.2","","364.7000000476837","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","1216","1","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","17","91799","0.0-1.0-7.0-1.0","battery-v0.2","","353.7000000476837","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","1205.2999999523163","1","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","18","96654","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","19","101508","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","20","106369","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","21","106370","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","22","138752","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":25263.299999952316},{""page_index"":1,""viewing_time"":7119}]","32382.700000047684","","","","","","","","","","","","","","","",""
"pit-trial","23","142161","0.0-1.0-10.0-0.0","battery-v0.2","","555.5","&#9789;","elianto","#f73b6a7A","32","32","1","0","1405.7000000476837","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","24","145412","0.0-1.0-10.0-1.0","battery-v0.2","","396.90000009536743","&#9789;","elianto","#f73b6a7A","32","32","1","0","1247.2999999523163","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","25","148395","0.0-1.0-10.0-2.0","battery-v0.2","","124.20000004768372","&#9789;","elianto","#f73b6a7A","32","32","1","0","977.0999999046326","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","26","151386","0.0-1.0-10.0-3.0","battery-v0.2","","135.60000014305115","&#9789;","elianto","#f73b6a7A","32","32","1","0","986.4000000953674","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","27","154392","0.0-1.0-10.0-4.0","battery-v0.2","","149.29999995231628","&#9789;","elianto","#f73b6a7A","32","32","1","-10","999.4000000953674","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","28","154393","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","29","223873","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6730.099999904633},{""page_index"":1,""viewing_time"":6652.799999952316},{""page_index"":2,""viewing_time"":33142},{""page_index"":1,""viewing_time"":416.60000014305115},{""page_index"":0,""viewing_time"":11786},{""page_index"":1,""viewing_time"":518},{""page_index"":2,""viewing_time"":983.5},{""page_index"":3,""viewing_time"":3533.7000000476837},{""page_index"":4,""viewing_time"":5718.5}]","69481.39999985695","","","","","","","","","","","","","","","",""
"pit-comprehension","30","232409","0.0-1.0-13.0-0.0","battery-v0.2","","8534.700000047684","","","","","","","","","","","","","","","SPACE","0"
"pit-instructions","31","233525","0.0-1.0-13.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1107.9000000953674}]","1108.2000000476837","","","","","","","","","","","","","","","",""
"pit-comprehension","32","237610","0.0-1.0-14.0-0.0","battery-v0.2","","4083.5","","","","","","","","","","","","","","","10","0"
"pit-instructions","33","238660","0.0-1.0-14.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1043.2999999523163}]","1043.5999999046326","","","","","","","","","","","","","","","",""
"pit-comprehension","34","240510","0.0-1.0-15.0-0.0","battery-v0.2","","1849.2999999523163","","","","","","","","","","","","","","","0","1"
"pit-instructions","35","245246","0.0-1.0-15.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4730.100000143051}]","4730.400000095367","","","","","","","","","","","","","","","",""
"pit-instructions","36","246178","0.0-1.0-15.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":931}]","931.2000000476837","","","","","","","","","","","","","","","",""
"pit-comprehension","37","248196","0.0-1.0-15.1-0.1","battery-v0.2","","2016.3999998569489","","","","","","","","","","","","","","","10","0"
"pit-instructions","38","249262","0.0-1.0-15.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1060.2999999523163}]","1060.7000000476837","","","","","","","","","","","","","","","",""
"pit-comprehension","39","262216","0.0-1.0-16.0-0.0","battery-v0.2","","12953","","","","","","","","","","","","","","","True","0"
"pit-instructions","40","263283","0.0-1.0-16.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1059.6000001430511}]","1060","","","","","","","","","","","","","","","",""
"pit-comprehension","41","266800","0.0-1.0-17.0-0.0","battery-v0.2","","3516","","","","","","","","","","","","","","","False","1"
"pit-instructions","42","269351","0.0-1.0-17.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2544.5}]","2544.7000000476837","","","","","","","","","","","","","","","",""
"pit-instructions","43","270901","0.0-1.0-17.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1549}]","1549.2999999523163","","","","","","","","","","","","","","","",""
"pit-comprehension","44","273335","0.0-1.0-17.1-0.1","battery-v0.2","","2432.2999999523163","","","","","","","","","","","","","","","True","0"
"pit-instructions","45","274203","0.0-1.0-17.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":860.7000000476837}]","861","","","","","","","","","","","","","","","",""
"pit-comprehension","46","278587","0.0-1.0-18.0-0.0","battery-v0.2","","4382.799999952316","","","","","","","","","","","","","","","False","1"
"pit-instructions","47","285205","0.0-1.0-18.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6611.700000047684}]","6612.100000143051","","","","","","","","","","","","","","","",""
"pit-instructions","48","286705","0.0-1.0-18.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1498.2999999523163}]","1498.5","","","","","","","","","","","","","","","",""
"pit-comprehension","49","288423","0.0-1.0-18.1-0.1","battery-v0.2","","1716.7999999523163","","","","","","","","","","","","","","","True","0"
"pit-instructions","50","289357","0.0-1.0-18.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":926.5}]","926.7000000476837","","","","","","","","","","","","","","","",""
"pit-instructions","51","300742","0.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3215.399999856949},{""page_index"":1,""viewing_time"":7019.299999952316},{""page_index"":2,""viewing_time"":1149.7000000476837}]","11384.799999952316","","","","","","","","","","","","","","","",""
