"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2724","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","36093","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2467.5},{""page_index"":1,""viewing_time"":3818.5999999940395},{""page_index"":2,""viewing_time"":2435.300000011921},{""page_index"":3,""viewing_time"":3187.0999999940395},{""page_index"":4,""viewing_time"":1721.199999988079},{""page_index"":5,""viewing_time"":3058.0999999940395},{""page_index"":6,""viewing_time"":1997.9000000059605},{""page_index"":7,""viewing_time"":3154.300000011921},{""page_index"":8,""viewing_time"":2960.699999988079},{""page_index"":9,""viewing_time"":3108.5},{""page_index"":10,""viewing_time"":2867.5},{""page_index"":11,""viewing_time"":2582.9000000059605}]","33361.90000000596","","","","","","","","","","","","","","","",""
"pit-trial","3","39491","0.0-2.0-1.0-0.0","battery-v0.2","","","536.7000000178814","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1388.0999999940395","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","4","42816","0.0-2.0-1.1-0.1","battery-v0.2","","","460.40000000596046","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1312.4000000059605","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","5","46052","0.0-2.0-1.2-0.2","battery-v0.2","","","375.40000000596046","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1225.2999999821186","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","6","49279","0.0-2.0-1.3-0.3","battery-v0.2","","","367.09999999403954","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1217.2000000178814","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","7","52396","0.0-2.0-1.4-0.4","battery-v0.2","","","256.40000000596046","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1107.4000000059605","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","8","67502","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6517.9000000059605},{""page_index"":1,""viewing_time"":3873},{""page_index"":2,""viewing_time"":1549},{""page_index"":3,""viewing_time"":3159.300000011921}]","15099.700000017881","","","","","","","","","","","","","","","",""
"pit-trial","9","72366","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","10","77232","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","11","82093","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","12","86958","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","13","91824","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","14","190722","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":31643},{""page_index"":1,""viewing_time"":2316.800000011921},{""page_index"":2,""viewing_time"":2709},{""page_index"":3,""viewing_time"":5719.5999999940395},{""page_index"":4,""viewing_time"":2070.2000000178814},{""page_index"":5,""viewing_time"":18048.899999976158},{""page_index"":6,""viewing_time"":27482.5},{""page_index"":7,""viewing_time"":1556.5},{""page_index"":8,""viewing_time"":1606.800000011921},{""page_index"":9,""viewing_time"":2640.5},{""page_index"":10,""viewing_time"":3101.4000000059605}]","98895.70000001788","","","","","","","","","","","","","","","",""
"pit-trial","15","195218","0.0-2.0-5.0-0.0","battery-v0.2","","","1639.199999988079","&#9776;","elianto","#3366ff99","32","32","1","+10","2489.5","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
