"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","11","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"fullscreen","1","2039","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","",""
"pit-instructions","2","4984","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":995},{""page_index"":1,""viewing_time"":179},{""page_index"":2,""viewing_time"":193.59999999962747},{""page_index"":3,""viewing_time"":154.40000000037253},{""page_index"":4,""viewing_time"":180},{""page_index"":5,""viewing_time"":173.40000000037253},{""page_index"":6,""viewing_time"":180.09999999962747},{""page_index"":7,""viewing_time"":177.09999999962747},{""page_index"":8,""viewing_time"":163},{""page_index"":9,""viewing_time"":176.40000000037253},{""page_index"":10,""viewing_time"":196.69999999925494},{""page_index"":11,""viewing_time"":168}]","2938.0999999996275","","","","","","","","","","","","",""
"pit-trial","3","7988","0.0-2.0-1.0-0.0","battery-v0.2","","","149.39999999850988","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","999.7999999988824","1","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","4","12847","0.0-2.0-1.1-0.1","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","5","17708","0.0-2.0-1.2-0.2","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","6","22569","0.0-2.0-1.3-0.3","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","7","27427","0.0-2.0-1.4-0.4","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","8","32288","0.0-2.0-1.5-0.5","battery-v0.2","","","-1","&#9784;","elianto","#FFFFF080","32","-1","0","&#10060","","0","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-instructions","9","145656","0.0-2.0-1.5-1.5-0.5","battery-v0.2","","[{""page_index"":0,""viewing_time"":113260.59999999963},{""page_index"":1,""viewing_time"":183}]","113444.09999999963","","","","","","","","","","","","",""
"pit-trial","10","148644","0.0-2.0-1.6-0.6","battery-v0.2","","","130.19999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","980.2999999988824","1","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
"pit-trial","11","151695","0.0-2.0-1.7-0.7","battery-v0.2","","","196.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1046.9000000003725","1","0","0","495e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999"
