"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","13","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"fullscreen","1","2272","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","",""
"pit-instructions","2","4992","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":975.6000000014901},{""page_index"":1,""viewing_time"":174.39999999850988},{""page_index"":2,""viewing_time"":171.89999999850988},{""page_index"":3,""viewing_time"":144.60000000149012},{""page_index"":4,""viewing_time"":162.60000000149012},{""page_index"":5,""viewing_time"":143.5},{""page_index"":6,""viewing_time"":145.69999999925494},{""page_index"":7,""viewing_time"":179.80000000074506},{""page_index"":8,""viewing_time"":128.19999999925494},{""page_index"":9,""viewing_time"":161.30000000074506},{""page_index"":10,""viewing_time"":162.69999999925494},{""page_index"":11,""viewing_time"":163}]","2714.10000000149","","","","","","","","","","","","","",""
"pit-trial","3","7878","0.0-2.0-1.0-0.0","battery-v0.2","","","28","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","879","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","4","10875","0.0-2.0-1.1-0.1","battery-v0.2","","","136.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","988.3000000007451","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","5","13888","0.0-2.0-1.2-0.2","battery-v0.2","","","151.19999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1001.5","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","6","16977","0.0-2.0-1.3-0.3","battery-v0.2","","","230.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1081.199999999255","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","7","20227","0.0-2.0-1.4-0.4","battery-v0.2","","","392.79999999701977","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1244.199999999255","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-instructions","8","21721","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":961.3000000007451},{""page_index"":1,""viewing_time"":185.59999999776483},{""page_index"":2,""viewing_time"":188.40000000223517},{""page_index"":3,""viewing_time"":151.80000000074506}]","1487.699999999255","","","","","","","","","","","","","",""
"pit-trial","9","26577","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","10","31438","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","11","36300","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","12","41158","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","13","46017","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-instructions","14","54233","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5262.199999999255},{""page_index"":1,""viewing_time"":177.90000000223517},{""page_index"":2,""viewing_time"":172.59999999776483},{""page_index"":3,""viewing_time"":155.30000000074506},{""page_index"":4,""viewing_time"":320.69999999925494},{""page_index"":5,""viewing_time"":154.69999999925494},{""page_index"":6,""viewing_time"":587.6000000014901},{""page_index"":7,""viewing_time"":154.80000000074506},{""page_index"":8,""viewing_time"":189.80000000074506},{""page_index"":9,""viewing_time"":855.1999999992549},{""page_index"":10,""viewing_time"":177.80000000074506}]","8209.300000000745","","","","","","","","","","","","","",""
"pit-trial","15","59097","0.0-2.0-5.0-0.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","16","63957","0.0-2.0-5.0-1.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","17","68817","0.0-2.0-5.0-2.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","18","73677","0.0-2.0-5.0-3.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","19","78531","0.0-2.0-5.0-4.0","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
"pit-trial","20","83397","0.0-2.0-5.1-0.1","battery-v0.2","","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999",""
