"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","25","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2175","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","4394","0.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1653.6000000000931},{""page_index"":1,""viewing_time"":398.60000000009313},{""page_index"":2,""viewing_time"":161.60000000009313}]","2214.7000000001863","","","","","","","","","","","","","","","","",""
"pit-trial","3","7878","0.0-3.0","battery-v0.2","","","621.2000000001863","&#9730;","elianto","#3366ff99","32","32","1","+10","1473.3999999999069","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","1","1","1","win","go","0"
"pit-trial","4","10795","0.0-4.0","battery-v0.2","","","61","&#9728;","elianto","#f73b6a7A","-1","32","0","-10","911.1000000000931,1447.8000000002794","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","2","0","4","lose","no-go","0"
"pit-trial","5","14047","0.0-5.0","battery-v0.2","","","391","&#9733;","elianto","#3366ff99","-1","32","0","0","1241","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","3","2","2","win","no-go","0"
"pit-trial","6","18906","0.0-6.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A","32","-1","0","-10","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","4","3","3","lose","go","0"
"pit-trial","7","23765","0.0-7.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","5","2","2","win","no-go","0"
"pit-trial","8","29229","0.0-8.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99","32","-1","0","+10","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","6","1","1","win","go","1"
"pit-trial","9","34092","0.0-9.0","battery-v0.2","","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","3240.4000000003725","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","7","0","4","lose","no-go","0"
"pit-trial","10","39382","0.0-10.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A","32","-1","0","0","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","8","3","3","lose","go","1"
"pit-trial","11","42746","0.0-11.0","battery-v0.2","","","505.8000000002794","&#9752;","elianto","#f73b6a7A","32","32","1","0","802.8000000002794,1355.7000000001863","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","9","3","3","lose","go","0"
"pit-trial","12","47604","0.0-12.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","10","2","2","win","no-go","0"
"pit-trial","13","52460","0.0-13.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99","32","-1","0","0","3776.600000000093","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","11","1","1","win","go","0"
"pit-trial","14","55679","0.0-14.0","battery-v0.2","","","363.1999999997206","&#9728;","elianto","#f73b6a7A","-1","32","0","-10","1213.3999999999069","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","1","12","0","4","lose","no-go","0"
