"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","responses","num_errors","view_history"
"pavlovia","0","5","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-trial","1","3489","0.0-1.0-0.0-0.0","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","629.3000001907349","1","&#10004","[1479]","1","0","0","3&age=8&participant_ID=5&order=1","5","","",""
"pit-trial","2","6539","0.0-1.0-0.1-0.1","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","193","1","&#10004","[1044.1000001430511]","1","0","0","3&age=8&participant_ID=5&order=1","5","","",""
"pit-trial","3","9735","0.0-1.0-0.2-0.2","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","337.10000014305115","1","&#10004","[1188]","1","0","0","3&age=8&participant_ID=5&order=1","5","","",""
"pit-trial","4","12669","0.0-1.0-0.3-0.3","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","78.09999990463257","1","&#10004","[928.9000000953674]","1","0","0","3&age=8&participant_ID=5&order=1","5","","",""
"pit-trial","5","15900","0.0-1.0-0.4-0.4","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","373.2999999523163","1","&#10004","[1223.5]","1","0","0","3&age=8&participant_ID=5&order=1","5","","",""
"pit-comprehension","6","856143","0.0-1.0-1.0-0.0","battery-v0.2","","","","","","829292.8000001907","","","","","","","","","[""SPACE""]","0",""
"pit-instructions","7","858593","0.0-1.0-1.0-1.0","battery-v0.2","","","","","","2443.2000000476837","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2442.7999999523163}]"
"pit-comprehension","8","863378","0.0-1.0-2.0-0.0","battery-v0.2","","","","","","4782.099999904633","","","","","","","","","[""10""]","0",""
"pit-instructions","9","864861","0.0-1.0-2.0-1.0","battery-v0.2","","","","","","1478.8999998569489","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1478.5}]"
"pit-comprehension","10","871830","0.0-1.0-3.0-0.0","battery-v0.2","","","","","","6965.200000047684","","","","","","","","","[""0""]","0",""
"pit-instructions","11","873296","0.0-1.0-3.0-1.0","battery-v0.2","","","","","","1463.8000001907349","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1463.4000000953674}]"
"pit-comprehension","12","881732","0.0-1.0-4.0-0.0","battery-v0.2","","","","","","8432.099999904633","","","","","","","","","[""True""]","0",""
"pit-instructions","13","885016","0.0-1.0-4.0-1.0","battery-v0.2","","","","","","3281","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3280.7000000476837}]"
"pit-comprehension","14","892467","0.0-1.0-5.0-0.0","battery-v0.2","","","","","","7448.299999952316","","","","","","","","","[""True""]","0",""
"pit-instructions","15","894418","0.0-1.0-5.0-1.0","battery-v0.2","","","","","","1948.2999999523163","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1947.9000000953674}]"
"pit-comprehension","16","900903","0.0-1.0-6.0-0.0","battery-v0.2","","","","","","6482.100000143051","","","","","","","","","[""True""]","0",""
"pit-instructions","17","902436","0.0-1.0-6.0-1.0","battery-v0.2","","","","","","1529","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1528.7000000476837}]"
"pit-comprehension","18","908506","0.0-1.0-7.0-0.0","battery-v0.2","","","","","","6067.299999952316","","","","","","","","","[""False""]","0",""
"pit-instructions","19","909922","0.0-1.0-7.0-1.0","battery-v0.2","","","","","","1412.0999999046326","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1411.7999999523163}]"
