"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","responses","num_errors","view_history","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","5","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","1","3410","0.0-1.0-0.0-0.0","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","552.6000001430511","1","&#10004","[1403]","1","0","0","3&age=8&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","2","6391","0.0-1.0-0.1-0.1","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","127.10000014305115","1","&#10004","[977.7999999523163]","1","0","0","3&age=8&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","3","9417","0.0-1.0-0.2-0.2","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","173.5","1","&#10004","[1023.5]","1","0","0","3&age=8&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","4","12421","0.0-1.0-0.3-0.3","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","147.79999995231628","1","&#10004","[1000.2999999523163]","1","0","0","3&age=8&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","5","15449","0.0-1.0-0.4-0.4","battery-v0.2","&#9784;","elianto","#FFFFF080"," "," ","171.89999985694885","1","&#10004","[1022.5]","1","0","0","3&age=8&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-comprehension","6","21236","0.0-1.0-1.0-0.0","battery-v0.2","","","","","","5783.5","","","","","","","","","[""False""]","0","","","","","","","",""
"pit-instructions","7","23053","0.0-1.0-1.0-1.0","battery-v0.2","","","","","","1814.5","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1814.0999999046326}]","","","","","","",""
"pit-instructions","8","40491","0.0-2.0","battery-v0.2","","","","","","17436.800000190735","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4065.4000000953674},{""page_index"":1,""viewing_time"":5901.799999952316},{""page_index"":2,""viewing_time"":7469.200000047684}]","","","","","","",""
"pit-trial","9","43639","0.0-3.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1"," ","292.5","0","-10","[1142.5]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","1","0","4","lose","no-go","0"
"pit-trial","10","46700","0.0-4.0","battery-v0.2","&#9730;","elianto","#3366ff99"," "," ","205.79999995231628","1","+10","[1056.0999999046326]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","2","1","1","win","go","0"
