"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","",""
"pit-instructions","1","1167","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1160.300000011921}]","1160.800000011921","","","","","","","","","","","","","","",""
"pit-comprehension","2","4841","0.0-1.0-1.0-0.0","battery-v0.2","","3671.4000000059605","[""turtle""]","1","","","","","","","","","","","","",""
"pit-instructions","3","5723","0.0-1.0-1.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":879.9000000059605}]","880.3000000119209","","","","","","","","","","","","","","",""
"pit-instructions","4","6523","0.0-1.0-1.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":798.2000000178814}]","798.8000000119209","","","","","","","","","","","","","","",""
"pit-comprehension","5","8715","0.0-1.0-1.1-0.1","battery-v0.2","","2189.7999999821186","[""shark""]","0","","","","","","","","","","","","",""
"pit-instructions","6","9896","0.0-1.0-1.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1174.1000000238419}]","1176.7000000178814","","","","","","","","","","","","","","",""
"pit-trial","7","13293","0.0-1.0-2.0-0.0","battery-v0.2","","508.19999998807907","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1362.800000011921]","1","0","0","3&age=8&participant_ID=5&order=1","5"
"pit-trial","8","22667","0.0-1.0-2.1-0.1","battery-v0.2","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","3&age=8&participant_ID=5&order=1","5"
"pit-trial","9","27908","0.0-1.0-2.2-0.2","battery-v0.2","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","3&age=8&participant_ID=5&order=1","5"
"pit-trial","10","33839","0.0-1.0-2.3-0.3","battery-v0.2","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","3&age=8&participant_ID=5&order=1","5"
"pit-trial","11","39307","0.0-1.0-2.4-0.4","battery-v0.2","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","3&age=8&participant_ID=5&order=1","5"
"pit-trial","12","46221","0.0-1.0-2.5-0.5","battery-v0.2","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","3&age=8&participant_ID=5&order=1","5"
"pit-trial","13","52221","0.0-1.0-2.6-0.6","battery-v0.2","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","3&age=8&participant_ID=5&order=1","5"
