"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","",""
"pit-instructions","1","1294","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1282.7000000178814}]","1283.6000000238419","",""
"pit-comprehension","2","4168","0.0-1.0-1.0-0.0","battery-v0.2","","2867.399999976158","[""turtle""]","1"
"pit-instructions","3","4923","0.0-1.0-1.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":750.5}]","750.9000000059605","",""
"pit-instructions","4","5426","0.0-1.0-1.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":501.7999999821186}]","502.2999999821186","",""
"pit-comprehension","5","7199","0.0-1.0-1.1-0.1","battery-v0.2","","1767.5","[""shark""]","0"
"pit-instructions","6","8351","0.0-1.0-1.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1147.5}]","1148.300000011921","",""
"pit-comprehension","7","12837","0.0-1.0-2.0-0.0","battery-v0.2","","4480.399999976158","[""shark""]","1"
"pit-instructions","8","13743","0.0-1.0-2.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":901.1999999880791}]","901.8000000119209","",""
"pit-instructions","9","14305","0.0-1.0-2.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":558.8999999761581}]","559.5","",""
