"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","21","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","1710","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1686.5}]","1687.300000011921","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","2","4608","0.0-1.0-1.0-0.0","battery-v0.2","","2893","[""turtle""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","3","6389","0.0-1.0-1.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1775.300000011921}]","1776.2000000178814","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","7582","0.0-1.0-1.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1189.800000011921}]","1190.4000000059605","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","9871","0.0-1.0-1.1-0.1","battery-v0.2","","2284.4000000059605","[""shark""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","10581","0.0-1.0-1.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":708.8000000119209}]","709.1999999880791","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","7","13238","0.0-1.0-2.0-0.0","battery-v0.2","","2652.800000011921","[""shark""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","8","14003","0.0-1.0-2.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":759.5999999940395}]","760.4000000059605","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","9","14899","0.0-1.0-2.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":892.7999999821186}]","893.5999999940395","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","10","19652","0.0-1.0-2.1-0.1","battery-v0.2","","4749","[""turtle""]","1","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","11","20452","0.0-1.0-2.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":794.7000000178814}]","795.3000000119209","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","12","21452","0.0-1.0-2.1-2.1-0.1","battery-v0.2","[{""page_index"":0,""viewing_time"":997.1000000238419}]","997.8000000119209","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","13","24072","0.0-1.0-2.2-0.2","battery-v0.2","","2616.0999999940395","[""tiger""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","14","24810","0.0-1.0-2.2-1.2","battery-v0.2","[{""page_index"":0,""viewing_time"":731.9000000059605}]","732.8000000119209","","","","","","","","","","","","","","","","","","","","","","",""
