"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2043","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","20410","0.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3551.100000023842},{""page_index"":1,""viewing_time"":7149.899999976158},{""page_index"":2,""viewing_time"":7662.800000011921}]","18364.5","","","","","","","","","","","","","","","","",""
"pit-trial","3","25276","0.0-3.0","battery-v0.2","","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","1","1","0","4","lose","no-go","1"
"pit-trial","4","30135","0.0-4.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","2","2","2","win","no-go","0"
"pit-trial","5","34994","0.0-5.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","3","1","1","win","go","0"
"pit-trial","6","39852","0.0-6.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","4","3","3","lose","go","0"
"pit-trial","7","44712","0.0-7.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","5","2","2","win","no-go","0"
"pit-trial","8","49571","0.0-8.0","battery-v0.2","","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","6","0","4","lose","no-go","0"
"pit-trial","9","54429","0.0-9.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","7","1","1","win","go","0"
"pit-trial","10","59287","0.0-10.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","8","3","3","lose","go","0"
"pit-trial","11","64147","0.0-11.0","battery-v0.2","","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","9","0","4","lose","no-go","0"
"pit-trial","12","69005","0.0-12.0","battery-v0.2","","","-1","&#9752;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","10","3","3","lose","go","0"
"pit-trial","13","73864","0.0-13.0","battery-v0.2","","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","11","2","2","win","no-go","0"
"pit-trial","14","78728","0.0-14.0","battery-v0.2","","","-1","&#9730;","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","12","1","1","win","go","0"
