"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2497","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","5172","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2670}]","2670","","","","","","","","","","","","","","","",""
"pit-comprehension","3","10165","0.0-2.0-1.0-0.0","battery-v0.2","","","4761","[""turtle""]","1","","","","","","","","","","","","","",""
"pit-instructions","4","11248","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1078}]","1078","","","","","","","","","","","","","","","",""
"pit-instructions","5","11824","0.0-2.0-1.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":575}]","575","","","","","","","","","","","","","","","",""
"pit-comprehension","6","13906","0.0-2.0-1.1-0.1","battery-v0.2","","","2079.999999999998","[""shark""]","0","","","","","","","","","","","","","",""
"pit-instructions","7","14949","0.0-2.0-1.1-1.1","battery-v0.2","","[{""page_index"":0,""viewing_time"":1040}]","1040","","","","","","","","","","","","","","","",""
"pit-comprehension","8","17268","0.0-2.0-2.0-0.0","battery-v0.2","","","2317","[""tiger""]","0","","","","","","","","","","","","","",""
"pit-instructions","9","18686","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1415}]","1415","","","","","","","","","","","","","","","",""
"pit-instructions","10","113088","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":8620},{""page_index"":1,""viewing_time"":9844},{""page_index"":2,""viewing_time"":6844},{""page_index"":3,""viewing_time"":5080},{""page_index"":4,""viewing_time"":5931},{""page_index"":5,""viewing_time"":5167},{""page_index"":6,""viewing_time"":6172},{""page_index"":7,""viewing_time"":6169},{""page_index"":8,""viewing_time"":6078},{""page_index"":9,""viewing_time"":8233},{""page_index"":10,""viewing_time"":8739},{""page_index"":11,""viewing_time"":6856},{""page_index"":12,""viewing_time"":6180.000000000015},{""page_index"":13,""viewing_time"":4483.999999999985}]","94398","","","","","","","","","","","","","","","",""
"pit-trial","11","117943","0.0-2.0-4.0-0.0","battery-v0.2","","","-1","","","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","12","121581","0.0-2.0-4.1-0.1","battery-v0.2","","","785","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1635]","1","0","0","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","13","124681","0.0-2.0-4.2-0.2","battery-v0.2","","","247","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1098]","1","0","0","999&age=16&gender=f&participant_ID=888","888",""
