"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","3","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2072","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","6427","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4353}]","4353","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","8655","0.0-2.0-1.0-0.0","battery-v0.2","","","2360.999999999999","[""shark""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","9580","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":923}]","923","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","12353","0.0-2.0-2.0-0.0","battery-v0.2","","","2770","[""tiger""]","0","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","13108","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":751}]","751","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","250742","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":7397},{""page_index"":1,""viewing_time"":8351},{""page_index"":2,""viewing_time"":20182},{""page_index"":3,""viewing_time"":5012},{""page_index"":4,""viewing_time"":17511},{""page_index"":5,""viewing_time"":5357},{""page_index"":6,""viewing_time"":7055},{""page_index"":7,""viewing_time"":17696},{""page_index"":8,""viewing_time"":9281},{""page_index"":9,""viewing_time"":21472},{""page_index"":10,""viewing_time"":56163.00000000003},{""page_index"":11,""viewing_time"":51203},{""page_index"":12,""viewing_time"":6241.999999999971},{""page_index"":13,""viewing_time"":4717}]","237639","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","253763","0.0-2.0-4.0-0.0","battery-v0.2","","","167","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1017]","1","0","0","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","9","256685","0.0-2.0-4.1-0.1","battery-v0.2","","","67.9999999999709","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[918.9999999999709,2022.999999999971]","2","0","0","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","10","260312","0.0-2.0-4.2-0.2","battery-v0.2","","","773","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1622.999999999971]","1","0","0","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","11","263437","0.0-2.0-4.3-0.3","battery-v0.2","","","272.9999999999709","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1123]","1","0","0","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","12","266492","0.0-2.0-4.4-0.4","battery-v0.2","","","202","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1051.9999999999418]","1","0","0","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-instructions","13","306453","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6571},{""page_index"":1,""viewing_time"":8748.000000000058},{""page_index"":2,""viewing_time"":13137},{""page_index"":3,""viewing_time"":11502.999999999942}]","39960","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","311307","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","15","316162","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","16","321014","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","17","325868","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","18","330721","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-instructions","19","540730","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":7208.000000000058},{""page_index"":1,""viewing_time"":17858.99999999994},{""page_index"":2,""viewing_time"":5698},{""page_index"":3,""viewing_time"":39272},{""page_index"":4,""viewing_time"":31580},{""page_index"":5,""viewing_time"":27597},{""page_index"":6,""viewing_time"":4518.000000000058},{""page_index"":7,""viewing_time"":7356},{""page_index"":8,""viewing_time"":6212.999999999942},{""page_index"":9,""viewing_time"":6081},{""page_index"":10,""viewing_time"":6514},{""page_index"":11,""viewing_time"":4534},{""page_index"":12,""viewing_time"":7083},{""page_index"":13,""viewing_time"":8831},{""page_index"":14,""viewing_time"":7664.000000000058},{""page_index"":15,""viewing_time"":6366.999999999942},{""page_index"":16,""viewing_time"":6707},{""page_index"":17,""viewing_time"":8931}]","210014","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","20","543777","0.0-2.0-8.0-0.0","battery-v0.2","","","194.00000000011642","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1044.0000000001164]","1","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","21","546710","0.0-2.0-8.0-1.0","battery-v0.2","","","79","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[930]","1","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
"pit-trial","22","549874","0.0-2.0-8.0-2.0","battery-v0.2","","","311","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1162]","1","0","1","999&age=16&gender=f&participant_ID=888","888","","","","","","","",""
