"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId"
"pavlovia","0","24","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3513","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","",""
"pit-instructions","2","6242","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2711}]","2716","","","","","","","","","","","","","","",""
"pit-comprehension","3","9354","0.0-2.0-1.0-0.0","battery-v0.2","","","3107.000000000002","[""shark""]","0","","","","","","","","","","","","",""
"pit-instructions","4","11060","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1671}]","1671","","","","","","","","","","","","","","",""
"pit-comprehension","5","13508","0.0-2.0-2.0-0.0","battery-v0.2","","","2441.000000000002","[""tiger""]","0","","","","","","","","","","","","",""
"pit-instructions","6","19927","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6411}]","6413","","","","","","","","","","","","","","",""
"pit-instructions","7","180186","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2357},{""page_index"":1,""viewing_time"":9816},{""page_index"":2,""viewing_time"":7135},{""page_index"":3,""viewing_time"":48624},{""page_index"":4,""viewing_time"":34734},{""page_index"":5,""viewing_time"":5607},{""page_index"":6,""viewing_time"":5631},{""page_index"":7,""viewing_time"":6126},{""page_index"":8,""viewing_time"":6086},{""page_index"":9,""viewing_time"":7966},{""page_index"":10,""viewing_time"":7559},{""page_index"":11,""viewing_time"":7474.000000000029},{""page_index"":12,""viewing_time"":6578.999999999971},{""page_index"":13,""viewing_time"":4565}]","160259","","","","","","","","","","","","","","",""
"pit-trial","8","183388","0.0-2.0-4.0-0.0","battery-v0.2","","","344","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1193.999999999971]","1","0","0","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","9","186343","0.0-2.0-4.1-0.1","battery-v0.2","","","100","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[950]","1","0","0","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","10","189894","0.0-2.0-4.2-0.2","battery-v0.2","","","697.0000000000291","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[191.0000000000291,829,1548.000000000029]","3","0","0","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","11","192837","0.0-2.0-4.3-0.3","battery-v0.2","","","88","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[939]","1","0","0","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","12","195947","0.0-2.0-4.4-0.4","battery-v0.2","","","257.0000000000291","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1108.000000000029]","1","0","0","840&age=16&gender=Female&participant_ID=6","6"
"pit-instructions","13","6479551","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1206190.0000000002},{""page_index"":1,""viewing_time"":747311.0000000002},{""page_index"":2,""viewing_time"":90514.99999999953},{""page_index"":3,""viewing_time"":6748}]","2050765","","","","","","","","","","","","","","",""
"pit-trial","14","6484409","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","15","6489263","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","16","6494117","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","17","6498970","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","840&age=16&gender=Female&participant_ID=6","6"
"pit-trial","18","6503824","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","840&age=16&gender=Female&participant_ID=6","6"
