"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2926","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","6523","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3589.9000000003725}]","3591.5999999996275","","","","","","","","","","","","","","","",""
"pit-comprehension","3","9396","0.0-2.0-1.0-0.0","battery-v0.2","","","2867","[""shark""]","0","8","3","5","","","","","","","","","","",""
"pit-instructions","4","10619","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1217.5999999996275}]","1217.8999999985099","","","","","","","","","","","","","","","",""
"pit-comprehension","5","13294","0.0-2.0-2.0-0.0","battery-v0.2","","","2670.800000000745","[""turtle""]","1","8","3","5","","","","","","","","","","",""
"pit-instructions","6","14225","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":929.3000000007451}]","929.6000000014901","","","","","","","","","","","","","","","",""
"pit-instructions","7","15124","0.0-2.0-2.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":896.2000000011176}]","896.5","","","","","","","","","","","","","","","",""
"pit-comprehension","8","17278","0.0-2.0-2.1-0.1","battery-v0.2","","","2149.5","[""tiger""]","0","8","3","5","","","","","","","","","","",""
"pit-instructions","9","18227","0.0-2.0-2.1-1.1","battery-v0.2","","[{""page_index"":0,""viewing_time"":944.7999999988824}]","945.2999999988824","","","","","","","","","","","","","","","",""
"pit-trial","10","23089","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
"pit-trial","11","28237","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
"pit-trial","12","33482","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
"pit-trial","13","39195","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
"pit-trial","14","44473","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
"pit-trial","15","50555","0.0-2.0-3.5-0.5","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
"pit-trial","16","56720","0.0-2.0-3.6-0.6","battery-v0.2","","","-1","","","8","3","5","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0"
