"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors"
"pavlovia","0","6","0.0-0.0","battery-v0.2","","","","",""
"fullscreen","1","2510","0.0-1.0","battery-v0.2","true","","","",""
"pit-instructions","2","7652","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5139}]","5139","",""
"pit-comprehension","3","13291","0.0-2.0-1.0-0.0","battery-v0.2","","","5637.000000000002","[""shark""]","0"
"pit-instructions","4","18702","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5405}]","5405","",""
"pit-comprehension","5","28860","0.0-2.0-2.0-0.0","battery-v0.2","","","10156","[""shark""]","1"
"pit-instructions","6","36791","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":7927}]","7927","",""
"pit-instructions","7","44441","0.0-2.0-2.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":7649}]","7650","",""
"pit-comprehension","8","48132","0.0-2.0-2.1-0.1","battery-v0.2","","","3689","[""tiger""]","0"
"pit-instructions","9","48941","0.0-2.0-2.1-1.1","battery-v0.2","","[{""page_index"":0,""viewing_time"":805}]","805","",""
