"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","7","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2361","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","6723","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4356.5}]","4357.799999998882","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","12742","0.0-2.0-1.0-0.0","battery-v0.2","","","6010.9000000003725","[""shark""]","0","12","998","1184","","","","","","","","","","","",""
"pit-instructions","4","15009","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":2259.199999999255}]","2260","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","17488","0.0-2.0-2.0-0.0","battery-v0.2","","","2469.9000000003725","[""tiger""]","0","12","998","1184","","","","","","","","","","","",""
"pit-instructions","6","19108","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1614.5}]","1615.0999999996275","","","","","","","","","","","","","","","","",""
"pit-instructions","7","179301","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":14459.800000000745},{""page_index"":1,""viewing_time"":7332},{""page_index"":2,""viewing_time"":7037.89999999851},{""page_index"":3,""viewing_time"":5981.60000000149},{""page_index"":4,""viewing_time"":5608.5999999996275},{""page_index"":5,""viewing_time"":7157},{""page_index"":6,""viewing_time"":8726},{""page_index"":7,""viewing_time"":7719.299999998882},{""page_index"":8,""viewing_time"":7070.700000001118},{""page_index"":9,""viewing_time"":46243.5},{""page_index"":10,""viewing_time"":8183.0999999996275},{""page_index"":11,""viewing_time"":10251.599999999627},{""page_index"":12,""viewing_time"":11443.800000000745},{""page_index"":13,""viewing_time"":12970.900000000373}]","160186.69999999925","","","","","","","","","","","","","","","","",""
"pit-trial","8","184157","0.0-2.0-4.0-0.0","battery-v0.2","","","-1","","","12","998","1184","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0",""
"pit-trial","9","189015","0.0-2.0-4.1-0.1","battery-v0.2","","","-1","","","12","998","1184","&#9784;","elianto","#FFFFF080"," ","-1","0","&#10060","[]","0","0","0",""
"pit-trial","10","192985","0.0-2.0-4.2-0.2","battery-v0.2","","","1114.9000000003725","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1964.9000000003725,3519.800000000745]","2","0","0",""
"pit-trial","11","196917","0.0-2.0-4.3-0.3","battery-v0.2","","","1075.5","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1925.5999999996275]","1","0","0",""
"pit-trial","12","199916","0.0-2.0-4.4-0.4","battery-v0.2","","","143.59999999962747","","","12","998","1184","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[993.6000000014901]","1","0","0",""
"pit-instructions","13","317413","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":29260.299999998882},{""page_index"":1,""viewing_time"":68801.09999999963},{""page_index"":2,""viewing_time"":7078.10000000149},{""page_index"":3,""viewing_time"":12351.5}]","117491.89999999851","","","","","","","","","","","","","","","","",""
"pit-trial","14","322270","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","15","327128","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[3143.4000000003725]","1","0","1",""
"pit-trial","16","330508","0.0-2.0-6.2-0.2","battery-v0.2","","","524.5999999996275","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1"," ","0","&#10060","[1374.300000000745]","1","0","1",""
"pit-trial","17","335364","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","18","340220","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-trial","19","345075","0.0-2.0-6.5-0.5","battery-v0.2","","","-1","","","12","998","1184","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1",""
"pit-instructions","20","569996","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":8918.89999999851},{""page_index"":1,""viewing_time"":8474.800000000745},{""page_index"":2,""viewing_time"":7856.699999999255},{""page_index"":3,""viewing_time"":8567.60000000149},{""page_index"":4,""viewing_time"":7864.5},{""page_index"":5,""viewing_time"":27789.799999998882},{""page_index"":6,""viewing_time"":35239.800000000745},{""page_index"":7,""viewing_time"":15790.900000000373},{""page_index"":8,""viewing_time"":10615},{""page_index"":9,""viewing_time"":13953.299999998882},{""page_index"":10,""viewing_time"":7831.9000000003725},{""page_index"":11,""viewing_time"":5633.800000000745},{""page_index"":12,""viewing_time"":8524.5},{""page_index"":13,""viewing_time"":11185.299999998882},{""page_index"":14,""viewing_time"":12305.900000000373},{""page_index"":15,""viewing_time"":8002.699999999255},{""page_index"":16,""viewing_time"":17372.200000001118},{""page_index"":17,""viewing_time"":8985.799999998882}]","224914.3999999985","","","","","","","","","","","","","","","","",""
"pit-trial","21","574852","0.0-2.0-8.0-0.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","22","579706","0.0-2.0-8.0-1.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","23","584560","0.0-2.0-8.0-2.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","24","589414","0.0-2.0-8.0-3.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","+10","[3424.5999999996275]","1","0","1",""
"pit-trial","25","594268","0.0-2.0-8.0-4.0","battery-v0.2","","","-1","","","12","998","1184","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1",""
"pit-trial","26","597884","0.0-2.0-8.1-0.1","battery-v0.2","","","760.4000000003725","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1610.5]","1","0","1",""
"pit-trial","27","600876","0.0-2.0-8.1-1.1","battery-v0.2","","","138.5","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[988.5]","1","0","1",""
"pit-trial","28","604347","0.0-2.0-8.1-2.1","battery-v0.2","","","616.5999999996275","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[790.7999999988824,1466.5999999996275]","2","0","1",""
"pit-trial","29","607218","0.0-2.0-8.1-3.1","battery-v0.2","","","17","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","0","[867.3000000007451]","1","0","1",""
"pit-trial","30","611575","0.0-2.0-8.1-4.1","battery-v0.2","","","1503.4000000003725","","","12","998","1184","&#9776;","elianto","#3366ff99"," "," ","1","+10","[2353.5]","1","0","1",""
"call-function","31","611578","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","32","688639","0.0-2.0-10.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":25923.5},{""page_index"":1,""viewing_time"":17397.599999999627},{""page_index"":2,""viewing_time"":12955.599999999627},{""page_index"":3,""viewing_time"":9021},{""page_index"":4,""viewing_time"":11761.800000000745}]","77060.39999999851","","","","","","","","","","","","","","","","",""
"pit-trial","33","692052","0.0-2.0-11.0-0.0","battery-v0.2","","","557","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1407.199999999255]","1","0","2",""
"pit-trial","34","695094","0.0-2.0-11.0-1.0","battery-v0.2","","","188","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1038.5]","1","0","2",""
"pit-trial","35","698946","0.0-2.0-11.0-2.0","battery-v0.2","","","997.3000000007451","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1847.7000000011176]","1","0","2",""
"pit-trial","36","703801","0.0-2.0-11.0-3.0","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","0","[]","0","0","2",""
"pit-trial","37","708656","0.0-2.0-11.0-4.0","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","38","711829","0.0-2.0-11.1-0.1","battery-v0.2","","","317.90000000037253","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1168]","1","0","2",""
"pit-trial","39","715418","0.0-2.0-11.1-1.1","battery-v0.2","","","734.8000000007451","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1584.9000000003725]","1","0","2",""
"pit-trial","40","718772","0.0-2.0-11.1-2.1","battery-v0.2","","","498.90000000037253","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1349.2000000011176]","1","0","2",""
"pit-trial","41","723627","0.0-2.0-11.1-3.1","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","0","[]","0","0","2",""
"pit-trial","42","727089","0.0-2.0-11.1-4.1","battery-v0.2","","","606.5999999996275","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1456.699999999255]","1","0","2",""
"pit-trial","43","731945","0.0-2.0-11.2-0.2","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[3603.10000000149]","1","0","2",""
"pit-trial","44","736800","0.0-2.0-11.2-1.2","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[3357.4000000003725]","1","0","2",""
"pit-trial","45","740284","0.0-2.0-11.2-2.2","battery-v0.2","","","628.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1479.2000000011176]","1","0","2",""
"pit-trial","46","744550","0.0-2.0-11.2-3.2","battery-v0.2","","","1410.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[2261.10000000149]","1","0","2",""
"pit-trial","47","747615","0.0-2.0-11.2-4.2","battery-v0.2","","","206.19999999925494","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1059.5999999996275]","1","0","2",""
"pit-trial","48","752470","0.0-2.0-11.3-0.3","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","49","755778","0.0-2.0-11.3-1.3","battery-v0.2","","","452.40000000037253","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1303.300000000745]","1","0","2",""
"pit-trial","50","759168","0.0-2.0-11.3-2.3","battery-v0.2","","","534.2999999988824","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1384.3999999985099]","1","0","2",""
"pit-trial","51","762620","0.0-2.0-11.3-3.3","battery-v0.2","","","596.1999999992549","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1446.5]","1","0","2",""
"pit-trial","52","765874","0.0-2.0-11.3-4.3","battery-v0.2","","","398.69999999925494","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1248.800000000745]","1","0","2",""
"pit-trial","53","770731","0.0-2.0-11.4-0.4","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","54","773923","0.0-2.0-11.4-1.4","battery-v0.2","","","337.19999999925494","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[371.40000000037253,789.6999999992549,1187.0999999996275]","3","0","2",""
"pit-trial","55","777401","0.0-2.0-11.4-2.4","battery-v0.2","","","622.3000000007451","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1472.800000000745]","1","0","2",""
"pit-trial","56","781147","0.0-2.0-11.4-3.4","battery-v0.2","","","888.2000000011176","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1741]","1","0","2",""
"pit-trial","57","784540","0.0-2.0-11.4-4.4","battery-v0.2","","","538.6999999992549","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1388.800000000745]","1","0","2",""
