"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","24","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3427","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","8660","0.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","[{""page_index"":0,""viewing_time"":5222.9000000059605}]","5224.799999982119","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","12285","0.0-2.0-1.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","3617.2999999821186","[""shark""]","0","16","1286","965","","","","","","","","","","","",""
"pit-instructions","4","14842","0.0-2.0-1.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","[{""page_index"":0,""viewing_time"":2537}]","2537.800000011921","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","19334","0.0-2.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","4484.300000011921","[""tiger""]","0","16","1286","965","","","","","","","","","","","",""
"pit-instructions","6","21427","0.0-2.0-2.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","[{""page_index"":0,""viewing_time"":2086.699999988079}]","2088","","","","","","","","","","","","","","","","",""
"pit-instructions","7","132807","0.0-2.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","[{""page_index"":0,""viewing_time"":10802.5},{""page_index"":1,""viewing_time"":7382.9000000059605},{""page_index"":2,""viewing_time"":7178.5},{""page_index"":3,""viewing_time"":6281.199999988079},{""page_index"":4,""viewing_time"":8191.5999999940395},{""page_index"":5,""viewing_time"":6742.100000023842},{""page_index"":6,""viewing_time"":9926.299999982119},{""page_index"":7,""viewing_time"":7861.300000011921},{""page_index"":8,""viewing_time"":7297.299999982119},{""page_index"":9,""viewing_time"":9022},{""page_index"":10,""viewing_time"":8933.5},{""page_index"":11,""viewing_time"":9040.100000023842},{""page_index"":12,""viewing_time"":7188.5999999940395},{""page_index"":13,""viewing_time"":5523.5}]","111372.69999998808","","","","","","","","","","","","","","","","",""
"pit-trial","8","135840","0.0-2.0-4.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","175.59999999403954","","","16","1286","965","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1025.7000000178814]","1","0","0",""
"pit-trial","9","138976","0.0-2.0-4.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","278.2999999821186","","","16","1286","965","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1128.300000011921]","1","0","0",""
"pit-trial","10","142044","0.0-2.0-4.2-0.2","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","212.2000000178814","","","16","1286","965","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1062.300000011921]","1","0","0",""
"pit-trial","11","145433","0.0-2.0-4.3-0.3","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2449""
","
","","","532.9000000059605","","","16","1286","965","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1383.1000000238419]","1","0","0",""
