"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","sub","trial","stimulus","robot","valence","action","sham","browser_interactions"
"pavlovia","0","18","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3410","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","7606","0.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","[{""page_index"":0,""viewing_time"":4192.5}]","4192.9000000059605","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","10408","0.0-2.0-1.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","","2798","[""shark""]","0","12","1641","64","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","13787","0.0-2.0-1.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","[{""page_index"":0,""viewing_time"":3373.600000023842}]","3373.800000011921","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","16606","0.0-2.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","","2814.399999976158","[""tiger""]","0","12","1641","64","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","21822","0.0-2.0-2.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","[{""page_index"":0,""viewing_time"":5212.9000000059605}]","5213.300000011921","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","140153","0.0-2.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","[{""page_index"":0,""viewing_time"":7630.200000017881},{""page_index"":1,""viewing_time"":6148.0999999940395},{""page_index"":2,""viewing_time"":6868},{""page_index"":3,""viewing_time"":12432.199999988079},{""page_index"":4,""viewing_time"":7051.0999999940395},{""page_index"":5,""viewing_time"":5899.5},{""page_index"":6,""viewing_time"":7550},{""page_index"":7,""viewing_time"":7865.700000017881},{""page_index"":8,""viewing_time"":13150.09999999404},{""page_index"":9,""viewing_time"":11749.90000000596},{""page_index"":10,""viewing_time"":9633.199999988079},{""page_index"":11,""viewing_time"":7899.4000000059605},{""page_index"":12,""viewing_time"":7118.800000011921},{""page_index"":13,""viewing_time"":7330.699999988079}]","118327.20000001788","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","143813","0.0-2.0-4.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","","802","","","12","1641","64","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1652.5999999940395]","1","0","0","","","","","","","","",""
"pit-trial","9","147353","0.0-2.0-4.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2424""
","
","","","682.0999999940395","","","12","1641","64","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1532.0999999940395]","1","0","0","","","","","","","","",""
